lakeid,year4,daynum,sampledate,sta,nsnow,avsnow,sdsnow,wlevel,totice,nice,whiteice,blueice
"TB",1991,16,1991-01-16 00:00:00,1,10,22.0,,-2.0,24.0,1,0.0,24.0
"TB",1991,51,1991-02-20 00:00:00,1,10,12.5,,1.0,39.0,1,11.0,28.0
"TB",1991,80,1991-03-21 00:00:00,1,1,0.0,,0.0,47.0,1,15.0,32.0
"TB",1992,15,1992-01-15 00:00:00,1,10,14.9,,0.0,26.0,1,14.0,12.0
"TB",1992,57,1992-02-26 00:00:00,1,10,31.0,,-2.0,40.0,1,28.0,12.0
"TB",1992,83,1992-03-23 00:00:00,1,10,5.2,,3.0,44.0,1,3.0,41.0
"TB",1993,14,1993-01-14 00:00:00,1,10,16.5,,1.0,29.5,1,17.0,12.5
"TB",1993,55,1993-02-24 00:00:00,1,10,10.2,,2.5,49.0,1,32.0,17.0
"TB",1993,82,1993-03-23 00:00:00,1,10,8.5,,5.0,50.5,1,31.5,19.0
"TB",1994,17,1994-01-17 00:00:00,1,10,13.1,,-13.0,20.0,1,6.0,14.0
"TB",1994,55,1994-02-24 00:00:00,1,10,2.7,,5.0,46.0,1,26.0,20.0
"TB",1994,87,1994-03-28 00:00:00,1,10,11.0,,0.0,36.0,1,17.0,19.0
"TB",1995,12,1995-01-12 00:00:00,1,10,6.3,,0.5,31.0,1,3.5,27.5
"TB",1995,45,1995-02-14 00:00:00,1,10,16.0,,0.0,36.5,1,5.0,31.5
"TB",1995,79,1995-03-20 00:00:00,1,10,2.8,,1.5,36.0,1,31.0,5.0
"TB",1995,313,1995-11-09 00:00:00,1,10,,,,2.5,1,0.0,2.5
"TB",1996,17,1996-01-17 00:00:00,1,10,24.8,,-2.0,28.0,1,5.0,23.0
"TB",1996,52,1996-02-21 00:00:00,1,10,15.3,,1.0,50.0,1,7.0,43.0
"TB",1996,93,1996-04-02 00:00:00,1,10,29.3,,-11.0,57.0,1,26.0,31.0
"TB",1997,21,1997-01-21 00:00:00,1,10,18.3,,0.5,44.0,1,29.0,15.0
"TB",1997,49,1997-02-18 00:00:00,1,10,16.2,,0.0,55.0,1,39.0,16.0
"TB",1997,83,1997-03-24 00:00:00,1,10,24.4,,0.0,57.0,1,57.0,0.0
"TB",1998,19,1998-01-19 00:00:00,1,10,24.4,,-12.0,21.0,1,6.0,15.0
"TB",1998,49,1998-02-18 00:00:00,1,10,2.5,,1.0,39.0,1,22.0,17.0
"TB",1998,75,1998-03-16 00:00:00,1,10,6.5,,2.0,34.0,1,21.0,13.0
"TB",1999,22,1999-01-22 00:00:00,1,10,21.1,,-1.0,30.0,1,9.0,21.0
"TB",1999,55,1999-02-24 00:00:00,1,10,16.4,,2.0,44.0,1,44.0,0.0
"TB",1999,82,1999-03-23 00:00:00,1,10,4.2,,3.0,43.0,1,33.0,10.0
"TB",2000,27,2000-01-27 00:00:00,1,10,16.1,,0.0,27.0,1,12.0,15.0
"TB",2000,52,2000-02-21 00:00:00,1,10,28.4,,-14.0,21.0,1,14.0,7.0
"TB",2001,24,2001-01-24 00:00:00,1,10,13.5,,-12.0,23.0,1,9.0,14.0
"TB",2001,50,2001-02-19 00:00:00,1,10,22.1,,0.0,38.0,1,27.0,11.0
"TB",2001,93,2001-04-03 00:00:00,1,10,3.9,,3.0,47.0,1,39.0,8.0
"TB",2002,17,2002-01-17 00:00:00,1,10,11.0,,2.0,17.0,1,0.0,17.0
"TB",2002,65,2002-03-06 00:00:00,1,10,7.8,,2.0,38.0,1,18.0,20.0
"TB",2002,102,2002-04-12 00:00:00,1,1,0.0,,5.0,51.0,1,27.0,24.0
"TB",2003,35,2003-02-04 00:00:00,1,10,29.8,,0.0,41.0,1,5.0,36.0
"TB",2003,51,2003-02-20 00:00:00,1,10,20.6,,-2.0,42.0,1,5.0,37.0
"TB",2003,92,2003-04-02 00:00:00,1,10,1.6,,2.0,40.0,1,2.0,38.0
"TB",2004,21,2004-01-21 00:00:00,1,10,22.0,,-2.0,32.0,1,11.0,21.0
"TB",2004,50,2004-02-19 00:00:00,1,10,16.6,,1.0,50.0,1,28.0,22.0
"TB",2004,89,2004-03-29 00:00:00,1,10,3.9,,2.0,54.0,1,28.0,26.0
"TB",2005,20,2005-01-20 00:00:00,1,10,25.0,,-1.0,31.0,1,15.0,16.0
"TB",2005,46,2005-02-15 00:00:00,1,10,12.2,,3.0,42.0,1,25.0,17.0
"TB",2005,90,2005-03-31 00:00:00,1,10,1.3,,2.0,44.0,1,20.0,24.0
"TB",2006,12,2006-01-12 00:00:00,1,10,8.6,,0.0,26.0,1,21.0,5.0
"TB",2006,53,2006-02-22 00:00:00,1,10,15.1,,2.0,38.0,1,38.0,0.0
"TB",2006,88,2006-03-29 00:00:00,1,10,0.5,,3.0,47.0,1,47.0,0.0
"TB",2007,23,2007-01-23 00:00:00,1,10,10.6,,1.0,28.0,1,12.0,16.0
"TB",2007,52,2007-02-21 00:00:00,1,10,13.3,,2.0,36.0,1,13.0,23.0
"TB",2007,86,2007-03-27 00:00:00,1,1,0.0,,0.0,25.0,1,2.0,23.0
"TB",2008,28,2008-01-28 00:00:00,1,10,14.7,,0.0,34.0,1,19.0,15.0
"TB",2008,56,2008-02-25 00:00:00,1,10,22.2,,-1.0,42.0,1,23.0,19.0
"TB",2008,87,2008-03-27 00:00:00,1,10,12.3,,1.0,53.0,1,35.0,18.0
"TB",2009,22,2009-01-22 00:00:00,1,10,26.2,,-2.0,32.0,1,18.0,14.0
"TB",2009,48,2009-02-17 00:00:00,1,10,6.2,,4.0,48.0,1,23.0,25.0
"TB",2009,84,2009-03-25 00:00:00,1,1,0.0,,3.0,42.0,1,24.0,18.0
"TB",2010,14,2010-01-14 00:00:00,1,10,12.0,,1.0,24.0,1,18.0,6.0
"TB",2010,53,2010-02-22 00:00:00,1,10,18.8,,0.0,33.0,1,17.0,16.0
"TB",2011,24,2011-01-24 00:00:00,1,10,18.3,,2.0,34.0,1,18.0,16.0
"TB",2011,46,2011-02-15 00:00:00,1,10,19.9,,0.0,36.0,1,18.0,18.0
"TB",2011,75,2011-03-16 00:00:00,1,10,11.3,,2.0,48.0,1,23.0,25.0
"TB",2012,10,2012-01-10 00:00:00,1,10,4.4,,0.0,25.0,1,16.0,9.0
"TB",2012,51,2012-02-20 00:00:00,1,10,9.8,,1.5,35.0,1,25.0,10.0
"TB",2013,28,2013-01-28 00:00:00,1,,28.0,,-3.0,25.0,,2.0,23.0
"TB",2013,49,2013-02-18 00:00:00,1,,10.4,,1.0,41.0,,20.0,21.0
"TB",2013,86,2013-03-27 00:00:00,1,,7.6,,2.0,60.0,,36.0,24.0
"TB",2014,24,2014-01-24 00:00:00,1,,32.1,,-15.0,30.0,,10.0,20.0
"TB",2014,51,2014-02-20 00:00:00,1,,32.0,,-1.0,46.0,,32.0,14.0
"TB",2014,87,2014-03-28 00:00:00,1,,21.1,,1.0,60.0,,42.0,18.0
"TB",2015,20,2015-01-20 00:00:00,1,,19.1,,0.0,30.0,,25.0,5.0
"TB",2015,65,2015-03-06 00:00:00,1,,31.1,,-3.0,32.0,,27.0,5.0
"TB",2015,83,2015-03-24 00:00:00,1,,0.0,,1.0,25.0,,20.0,5.0
