sampledate,year4,month,daynum,depth,wtemp,flag_wtemp
2005-06-06,2005,6,157,0.00,22.228,
2005-06-06,2005,6,157,0.25,21.751,
2005-06-06,2005,6,157,0.50,22.188,
2005-06-06,2005,6,157,0.75,21.804,
2005-06-06,2005,6,157,1.00,20.710,
2005-06-06,2005,6,157,1.25,18.071,
2005-06-06,2005,6,157,1.50,15.773,
2005-06-06,2005,6,157,1.75,13.590,
2005-06-06,2005,6,157,2.00,11.611,
2005-06-06,2005,6,157,2.25,10.247,
2005-06-07,2005,6,158,0.00,22.864,
2005-06-07,2005,6,158,0.25,22.404,
2005-06-07,2005,6,158,0.50,22.569,
2005-06-07,2005,6,158,0.75,21.543,
2005-06-07,2005,6,158,1.00,20.786,
2005-06-07,2005,6,158,1.25,18.466,
2005-06-07,2005,6,158,1.50,16.118,
2005-06-07,2005,6,158,1.75,13.855,
2005-06-07,2005,6,158,2.00,,"C"
2005-06-07,2005,6,158,2.25,10.351,
2005-06-08,2005,6,159,0.00,22.756,
2005-06-08,2005,6,159,0.25,22.262,
2005-06-08,2005,6,159,0.50,22.670,
2005-06-08,2005,6,159,0.75,21.993,
2005-06-08,2005,6,159,1.00,21.022,
2005-06-08,2005,6,159,1.25,18.736,
2005-06-08,2005,6,159,1.50,16.446,
2005-06-08,2005,6,159,1.75,14.131,
2005-06-08,2005,6,159,2.00,,"C"
2005-06-08,2005,6,159,2.25,10.551,
2005-06-09,2005,6,160,0.00,23.656,
2005-06-09,2005,6,160,0.25,23.167,
2005-06-09,2005,6,160,0.50,23.465,
2005-06-09,2005,6,160,0.75,22.631,
2005-06-09,2005,6,160,1.00,21.409,
2005-06-09,2005,6,160,1.25,18.979,
2005-06-09,2005,6,160,1.50,16.755,
2005-06-09,2005,6,160,1.75,14.427,
2005-06-09,2005,6,160,2.00,,"C"
2005-06-09,2005,6,160,2.25,10.747,
2005-06-10,2005,6,161,0.00,23.940,
2005-06-10,2005,6,161,0.25,23.341,
2005-06-10,2005,6,161,0.50,23.777,
2005-06-10,2005,6,161,0.75,22.921,
2005-06-10,2005,6,161,1.00,21.766,
2005-06-10,2005,6,161,1.25,19.397,
2005-06-10,2005,6,161,1.50,17.175,
