index1	index2	LSA	lag	p-valueBound	
10	12	0.427981	0	0	
10	33	0.435632	0	0	
10	53	0.553991	0	0	
10	60	0.393114	0	0	
10	65	0.437857	0	0	
10	95	0.451527	0	0	
10	107	0.429483	0	0	
10	115	-0.389201	0	0	
10	129	0.454393	0	0	
10	132	0.413145	0	0	
10	164	0.475558	0	0	
10	173	0.440353	0	0	
10	180	0.43943	0	0	
10	190	0.394548	0	0	
10	209	0.44157	0	0	
10	214	0.41009	0	0	
10	217	0.597478	0	0	
10	231	-0.445241	0	0	
10	238	0.397379	0	0	
10	255	0.48749	0	0	
10	266	0.444409	0	0	
10	285	0.453117	0	0	
10	292	0.452633	0	0	
10	297	-0.392096	0	0	
10	298	-0.393376	0	0	
10	326	0.463148	0	0	
10	327	0.39665	0	0	
10	334	0.44761	0	0	
10	335	0.408623	0	0	
10	339	0.532142	0	0	
10	341	0.472283	0	0	
10	343	0.393199	0	0	
10	363	0.393667	0	0	
10	364	0.436091	0	0	
10	385	0.416007	0	0	
10	396	0.432194	0	0	
10	405	0.4123	0	0	
10	412	-0.396726	0	0	
10	425	0.503486	0	0	
10	429	0.478655	0	0	
10	466	0.418341	0	0	
10	468	0.417994	0	0	
10	486	0.628483	0	0	
11	20	-0.4507	0	0	
11	31	-0.406761	0	0	
11	33	0.421227	0	0	
11	115	-0.502025	0	0	
11	129	0.399155	0	0	
11	154	-0.444942	0	0	
11	165	-0.421582	0	0	
11	209	0.398929	0	0	
11	231	-0.394151	0	0	
11	243	-0.452956	0	0	
11	251	0.474182	0	0	
11	292	0.432096	0	0	
11	294	0.451133	0	0	
11	297	-0.469029	0	0	
11	322	-0.391393	0	0	
11	334	0.432834	0	0	
11	385	0.427321	0	0	
11	388	0.388907	0	0	
11	405	0.388873	0	0	
11	412	-0.399423	0	0	
11	458	-0.447176	0	0	
11	460	-0.436734	0	0	
12	14	0.478889	0	0	
12	29	0.43631	0	0	
12	33	0.466979	0	0	
12	53	0.478257	0	0	
12	89	0.564731	0	0	
12	93	0.399079	0	0	
12	164	0.498906	0	0	
12	180	0.437568	0	0	
12	183	0.399794	0	0	
12	190	0.424679	0	0	
12	199	0.397074	0	0	
12	217	0.541439	0	0	
12	220	0.389533	0	0	
12	221	0.402769	0	0	
12	238	0.448734	0	0	
12	255	0.503603	0	0	
12	274	0.465484	0	0	
12	280	0.429318	0	0	
12	285	0.52714	0	0	
12	288	0.422257	0	0	
12	292	0.397936	0	0	
12	311	-0.40355	0	0	
12	326	0.597195	0	0	
12	335	0.434823	0	0	
12	339	0.533557	0	0	
12	363	0.51122	0	0	
12	381	-0.417544	0	0	
12	384	0.404152	0	0	
12	385	0.485346	0	0	
12	421	-0.397917	0	0	
12	425	0.503753	0	0	
12	429	0.403779	0	0	
12	454	0.390401	0	0	
12	468	0.414436	0	0	
12	486	0.536907	0	0	
13	60	0.409599	0	0	
13	97	0.421333	0	0	
13	142	0.433996	0	0	
13	218	-0.402923	0	0	
13	249	-0.41626	0	0	
13	262	0.412622	0	0	
13	378	-0.438076	0	0	
13	383	-0.395475	0	0	
13	391	0.390586	0	0	
13	397	-0.41294	0	0	
14	27	0.403479	0	0	
