"","Kingdom","Phylum","Class","Order","Lineage","Clade","Tribe"
"649570","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__YLA114","f__","g__","s__"
"649060","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"564809","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__","g__","s__"
"635572","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__heteroC45_4W","s__"
"646559","k__Bacteria","p__OD1","c__","o__","f__","g__","s__"
"656301","k__Bacteria","p__Cyanobacteria","c__Synechococcophycideae","o__Synechococcales","f__Synechococcaceae","g__Synechococcus","s__"
"658306","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__","s__"
"629203","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__[Weeksellaceae]","g__Chryseobacterium","s__"
"627757","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"658560","k__Bacteria","p__OP3","c__koll11","o__GIF10","f__kpj58rc","g__","s__"
"580292","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__WCHD3-30","f__","g__","s__"
"652901","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__","s__"
"469745","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Tremblayales","f__","g__","s__"
"658011","k__Bacteria","p__Verrucomicrobia","c__[Methylacidiphilae]","o__S-BQ2-57","f__","g__","s__"
"637461","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"659243","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Methylophilales","f__Methylophilaceae","g__","s__"
