"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"FBH12JUL07.R2",99,0.0123456790123457,0.0260215321943717,0.00412084825529659,1,-3.31869856271661,0.001,999
"FBH13JUN07.R1",139,0.00679456434852118,0.0206601485578304,0.00294484933967641,1,-4.70841887307988,0.001,999
"FBH13JUN07.R2",112,0.00744047619047619,0.0239813225924337,0.00359988877833938,1,-4.59482151267677,0.001,999
"FBH16JUL07.R1",143,0.0116550116550117,0.0202910758466314,0.0031317196190442,1,-2.75761091098426,0.001,999
"FBH16JUL07.R2",104,0.0117521367521368,0.0252228724450947,0.00386060632337086,1,-3.48927980856542,0.001,999
"FBH16OCT07.R1",156,0.0117521367521368,0.0190949496505052,0.00279095354700305,4,-2.63093339774617,0.004,999
"FBH16OCT07.R2",134,0.0124378109452736,0.0211251882064486,0.00324763719165125,4,-2.67498391861865,0.004,999
"FBH17SEP07.R1",135,0.00987654320987654,0.0212372866693854,0.00322554125690287,1,-3.52212002720355,0.001,999
"FBH17SEP07.R2",116,0.0167624521072797,0.0235287969962299,0.00349446488402617,29,-1.93630358681824,0.029,999
"FBH18JUL07.R1",278,0.00919264588329336,0.0129301963834338,0.00166573259583722,7,-2.24378781413104,0.007,999
"FBH18JUL07.R2",283,0.0094228504122497,0.0127231668260329,0.00162569512624461,17,-2.03009553298412,0.017,999
"FBH19JUN07",162,0.00617283950617284,0.018743709415863,0.002738824893581,1,-4.58987719118248,0.001,999
"FBH20AUG07.R1",174,0.0127713920817369,0.0177524267562582,0.00244696151696982,16,-2.03559992258868,0.016,999
"FBH20AUG07.R2",157,0.00813871196036801,0.0190034337238867,0.00269936758234417,1,-4.02491377409354,0.001,999
"FBH21JUN07",80,0.0208333333333333,0.0298951729507285,0.00474667061019836,24,-1.90909383893745,0.024,999
"FBH22OCT07.R1",135,0.0139917695473251,0.0211668458582039,0.00297950419481283,9.5,-2.40814438971767,0.0095,999
"FBH22OCT07.R2",113,0.02015732546706,0.0238921320533907,0.00354345114346705,148,-1.05400256278866,0.148,999
"FBH23AUG07.R1",136,0.00980392156862745,0.0209666365712117,0.00300092366791112,1,-3.71975972662924,0.001,999
"FBH23AUG07.R2",106,0.0120545073375262,0.0248744551679562,0.00377686092236849,1,-3.39433939822983,0.001,999
"FBH25JUL07.R1",215,0.0116279069767442,0.0152863457773018,0.00213188707457894,33.5,-1.71605656049123,0.0335,999
"FBH25JUL07.R2",191,0.00901687027341477,0.0165465057844348,0.00228469541559789,1,-3.29568460619052,0.001,999
"FBH25SEP07.R1",238,0.0112044817927171,0.0144208167083984,0.00190274982679479,44,-1.69036142870095,0.044,999
"FBH25SEP07.R2",248,0.0109767025089606,0.0139646815274055,0.0018012333471358,50.5,-1.65885171024412,0.0505,999
"FBH27AUG07.R1",171,0.00942170240415854,0.0179763909458516,0.00254325771065121,1,-3.36367349084046,0.001,999
"FBH27AUG07.R2",149,0.00857568978374347,0.0196553749872169,0.00287195823022061,1,-3.85788521813645,0.001,999
"FBH27JUL07.R1",200,0.01,0.0160905349794239,0.00220111676754753,3,-2.76702039129432,0.003,999
"FBH27JUL07.R2",171,0.0165692007797271,0.0179975296934361,0.00244357186628633,277.5,-0.584525028060567,0.2775,999
"FBH27JUN07.R1",149,0.00894854586129754,0.0197285279313616,0.00286318958374274,1,-3.76502559637445,0.001,999
"FBH27JUN07.R2",122,0.00956284153005465,0.0226788719502745,0.00341513786604121,2,-3.84055664359572,0.002,999
"FBH28MAY07",50,0.0188888888888889,0.0395484373262151,0.00714659018028022,2,-2.89082596261538,0.002,999
"FBH29JUN07",166,0.00937081659973226,0.0182639131768985,0.0026108752795028,1,-3.40617441475786,0.001,999
"FBH30OCT07.R1",156,0.0174501424501424,0.0190849681590422,0.00265619894987146,280,-0.615475625038892,0.28,999
"FBH30OCT07.R2",110,0.0156565656565657,0.0240821629710519,0.00371432229039459,13,-2.26840770825816,0.013,999
"FBH31JUL07.R1",56,0.00992063492063492,0.0368592799148355,0.00629321336850384,1,-4.28058662829114,0.001,999
"FBH31JUL07.R2",54,0.0102880658436214,0.0376909831642342,0.00660858257167122,1,-4.14656501956712,0.001,999
"FBH31MAY07.R1",102,0.0119825708061002,0.0256002189553388,0.00389699624043352,1,-3.49439601915645,0.001,999
"FBH31MAY07.R2",74,0.0142642642642643,0.0314007701395089,0.00519329608262707,1,-3.29973596779331,0.001,999
"HKE01AUG07.R1",272,0.0065359477124183,0.0131430450057901,0.00164635738364345,1,-4.0131610299278,0.001,999
"HKE01AUG07.R2",204,0.00735294117647059,0.0159388691523768,0.00214570598671145,1,-4.00144662366588,0.001,999
"HKE04JUL07.R1",210,0.00687830687830688,0.0156034341219526,0.00215567778654702,1,-4.04750992847672,0.001,999
"HKE04JUL07.R2",179,0.0074487895716946,0.017416547522072,0.00240762759840516,1,-4.14007463487302,0.001,999
"HKE06JUL07.R1",221,0.00804424333836098,0.0150630771545804,0.00206298367787654,1.5,-3.40227307248694,0.0015,999
"HKE06JUL07.R2",187,0.00861556743909685,0.0169019286666345,0.00232780023297564,1,-3.55973898024109,0.001,999
"HKE08AUG07.R1",323,0.00601995184038528,0.0117268971758136,0.00145114181467628,1,-3.93272750995837,0.001,999
"HKE08AUG07.R2",243,0.00640146319158665,0.014294129520467,0.00188443509889968,1,-4.18834606375611,0.001,999
"HKE09JUL07.R1",249,0.00758589915216421,0.0139188720179349,0.00176098110206519,1,-3.59627531399613,0.001,999
"HKE09JUL07.R2",215,0.00645994832041344,0.0153768755835939,0.00206079256690674,1,-4.32694071512731,0.001,999
"HKE10AUG07.R1",300,0.00555555555555555,0.0123160197234271,0.0015138065377595,1,-4.46587063752371,0.001,999
"HKE10AUG07.R2",265,0.00524109014675052,0.0133792072995427,0.0017128243073151,1,-4.75128541674479,0.001,999
"HKE12JUL07.R1",225,0.00641975308641975,0.0148800652504356,0.00197562149966553,1,-4.28235477567348,0.001,999
"HKE12JUL07.R2",186,0.00806451612903226,0.0169925002660964,0.0023717459268835,1,-3.76430883083486,0.001,999
"HKE17JUL07.R1",236,0.00847457627118644,0.0144506559289987,0.00187266661651617,1,-3.19121385787817,0.001,999
"HKE17JUL07.R2",188,0.00620567375886525,0.0168454506515972,0.00231777240716308,1,-4.59051840458957,0.001,999
"HKE20JUL07",112,0.00942460317460317,0.0240567948901282,0.0035461227190041,1,-4.12625080263279,0.001,999
"HKE20JUN07.R1",142,0.0113458528951487,0.0203799260919762,0.00303112863599735,1,-2.98043213657773,0.001,999
"HKE20JUN07.R2",132,0.00883838383838384,0.0214456881123548,0.00313839273065827,1,-4.01712129613765,0.001,999
"HKE22AUG07.R1",244,0.00683060109289617,0.0141163476773677,0.00182941859827748,1,-3.98254756529291,0.001,999
"HKE22AUG07.R2",198,0.00757575757575758,0.0162232940010718,0.00223871420715779,1,-3.86272459328022,0.001,999
"HKE23JUL07.R1",209,0.00717703349282297,0.0158007555668374,0.00214159767337119,1,-4.02677037860218,0.001,999
"HKE23JUL07.R2",185,0.00690690690690691,0.0171592012432853,0.00233085792688184,1,-4.39850675501861,0.001,999
"HKE26JUL07.R1",213,0.00599895670318205,0.0154706088456741,0.0021819510973854,1,-4.34090945202289,0.001,999
"HKE26JUL07.R2",229,0.00703541969917516,0.0147355021202668,0.00198194236996061,1,-3.88511923343396,0.001,999
"HKE26JUN07.R1",468,0.00629154795821462,0.00915409711706008,0.0010331214786613,4,-2.77077692988699,0.004,999
"HKE26JUN07.R2",441,0.00932224741748551,0.00952552451670617,0.00110295242243151,442,-0.184302690747557,0.442,999
"HKE27AUG07.R1",227,0.0066079295154185,0.0148192735074771,0.00193628363329443,1,-4.2407753961581,0.001,999
"HKE27AUG07.R2",207,0.00858829844337091,0.0158634211237539,0.00210270691453965,1,-3.45988431867394,0.001,999
"HKH01AUG07.R1",557,0.00618392180331139,0.00817274485736484,0.000899354566029823,15.5,-2.21138928869073,0.0155,999
"HKH01AUG07.R2",508,0.00842082239720035,0.0086780787786912,0.000974487223093984,403.5,-0.263991538723379,0.4035,999
"HKH04JUL07.R1",545,0.00611620795107034,0.0082715743266202,0.000888449058285417,10,-2.42598757401963,0.01,999
"HKH04JUL07.R2",451,0.00837644740083764,0.0094008766095487,0.00110783830522265,185.5,-0.924710044671331,0.1855,999
"HKH06JUL07.R1",532,0.00710108604845447,0.00843063196864366,0.00095839723857919,87,-1.38725975688351,0.087,999
"HKH06JUL07.R2",452,0.00909537856440511,0.00935301082793708,0.00114131684927107,424.5,-0.22573246307238,0.4245,999
"HKH08AUG07.R1",606,0.00641730839750642,0.00769553932370214,0.000867841302393377,69.5,-1.47288556406632,0.0695,999
"HKH08AUG07.R2",627,0.00646819067871699,0.00754325120796856,0.000870835477224522,111,-1.23451622880356,0.111,999
"HKH09JUL07.R1",542,0.00697006970069701,0.00833028600556276,0.000953646022653105,74,-1.42633248873785,0.074,999
"HKH09JUL07.R2",446,0.00884404583956153,0.00947010787568834,0.00109362310317146,283.5,-0.572465993367603,0.2835,999
"HKH10AUG07",291,0.00668193967163039,0.0125000907742412,0.00160892059237546,1,-3.61618288073541,0.001,999
"HKH12JUL07.R1",594,0.00626636737747849,0.00785063027861382,0.00086240265424563,29.5,-1.83703388821447,0.0295,999
"HKH12JUL07.R2",515,0.00539374325782093,0.0085962985639361,0.000959752122338724,1,-3.33685670661628,0.001,999
"HKH15JUN07",493,0.0080009015100293,0.00889530504134967,0.00101818703240464,185,-0.878427541164091,0.185,999
"HKH16JUL07.R1",524,0.00826972010178117,0.008517423275693,0.000958749748432962,396.5,-0.258360614244423,0.3965,999
"HKH16JUL07.R2",447,0.00807854834700472,0.00943809830213012,0.00112230684079232,117.5,-1.21138881606174,0.1175,999
"HKH17JUL07.R1",573,0.00649602482063215,0.00800732863947911,0.000878088714338472,39.5,-1.72112884970346,0.0395,999
"HKH17JUL07.R2",489,0.00761190638491252,0.00894168424275218,0.00104177867235317,102.5,-1.27644949270842,0.1025,999
"HKH20JUL07.R1",133,0.0158730158730159,0.0212593545926879,0.00317436866790274,40,-1.69682204028013,0.04,999
"HKH20JUL07.R2",91,0.0213675213675214,0.0274334163223052,0.00435735732118403,70,-1.39210409146238,0.07,999
"HKH20JUN07.R1",562,0.0068208778173191,0.00807381125688757,0.000922823841808237,84.5,-1.35771680661544,0.0845,999
"HKH20JUN07.R2",455,0.00744810744810745,0.00932837599504266,0.00109477194986919,41,-1.71749792014664,0.041,999
"HKH22AUG07.R1",572,0.0068958818958819,0.00801248023470246,0.000879729413676704,96,-1.26925202393074,0.096,999
"HKH22AUG07.R2",411,0.00756961340902947,0.00999512624276074,0.00116025975271119,13,-2.09049122669605,0.013,999
"HKH23JUL07",457,0.00607828835399951,0.00926710810007674,0.00108253740141975,2.5,-2.94569013679813,0.0025,999
"HKH24AUG07",470,0.00673758865248227,0.00912768560522698,0.00103036082293879,11,-2.319669866647,0.011,999
"HKH26JUL07",128,0.0078125,0.0219464255922589,0.00320283371102924,1,-4.41294393261427,0.001,999
"HKH26JUN07.R1",567,0.0085243974132863,0.00805567472234139,0.000878442174086517,715.5,0.533584002193808,0.7155,999
"HKH26JUN07.R2",510,0.00479302832244009,0.00870511033909727,0.00098455182084614,1,-3.97346481294918,0.001,999
"HKH27AUG07.R1",467,0.00582916964073281,0.00914190421685068,0.00106538986784592,1.5,-3.10941062619245,0.0015,999
"HKH27AUG07.R2",456,0.00694444444444444,0.00930291890330877,0.00107543919660783,8.5,-2.19303375430564,0.0085,999
"HKH28JUN07.R1",558,0.00617283950617284,0.00814414573872957,0.000898901356077816,13.5,-2.1930173085489,0.0135,999
"HKH28JUN07.R2",466,0.00810681926561755,0.00916128336252323,0.0010552480421681,164.5,-0.999257098586214,0.1645,999
"HKH30JUL07",116,0.014367816091954,0.0233988778050081,0.00353308636705743,3,-2.5561395264095,0.003,999
"MAE03AUG09.R1",536,0.00766998341625207,0.00839126854881415,0.000977097691651012,237.5,-0.738191420085456,0.2375,999
"MAH03AUG09.R2",623,0.00588550026752274,0.0075824888558971,0.000804160591504417,12,-2.1102608189238,0.012,999
"MAH03AUG09.R3",548,0.00679237631792376,0.00822395794009744,0.000896435389170353,59,-1.59697133721884,0.059,999
"MAE03JUN09",211,0.00895208004212743,0.0155919479247547,0.00216036439162298,2,-3.07349441065311,0.002,999
"MAH03JUN09",575,0.00685990338164251,0.00795771617027656,0.000871514465429245,107,-1.25966100642213,0.107,999
"MAE06JUL09",282,0.00669818754925138,0.0127495501805983,0.00154107196068144,1,-3.92672294723412,0.001,999
"MAH06JUL09",570,0.00614035087719298,0.0080167887185431,0.000896674018097985,17.5,-2.09266445048826,0.0175,999
"MAE09JUN09",197,0.0126903553299492,0.0162816510814255,0.00228746986791613,52,-1.56998603647089,0.052,999
"MAH09JUN09",570,0.00555555555555555,0.00804030151008709,0.000894906257135052,3.5,-2.7765432800595,0.0035,999
"MAE13AUG09",349,0.00573065902578797,0.0110881336605628,0.00134618712592809,1,-3.97973991251869,0.001,999
"MAH13AUG09",301,0.0103359173126615,0.0122350109430213,0.00154962249912308,112.5,-1.22552017116069,0.1125,999
"MAE14JUL09",271,0.00676506765067651,0.0130663668999052,0.00178009888779348,1,-3.53985910133313,0.001,999
"MAH14JUL09",574,0.00754936120789779,0.00799250663749309,0.000890072994233879,320,-0.497875379284738,0.32,999
"MAE16JUN09",142,0.0125195618153365,0.0204770498197728,0.00306011625669457,3,-2.60038748104026,0.003,999
"MAH16JUN09",500,0.00666666666666667,0.00873973973973974,0.00100830882837224,22,-2.05599020333853,0.022,999
"MAE19AUG09",154,0.0115440115440115,0.019200658089547,0.0028451330087349,4,-2.69113834819975,0.004,999
"MAH19AUG09",536,0.00580431177446103,0.00835516279131536,0.000967433357530118,5,-2.6367201389114,0.005,999
"MAE20JUL09",267,0.00665834373699542,0.013260034899652,0.00178075239746083,1,-3.70724822387994,0.001,999
"MAH20JUL09",489,0.00658941149738696,0.00884990875902032,0.00104525201553016,14,-2.16263372664899,0.014,999
"MAE24AUG09",347,0.00752481588216459,0.0111195088780744,0.00137147412862811,4,-2.62104324162903,0.004,999
"MAH24AUG09",510,0.00697167755991285,0.00860086666186884,0.00103120147726744,61.5,-1.57989407295375,0.0615,999
"MAE24JUN09",205,0.00840108401084011,0.0158887885175148,0.00216844530056698,1.5,-3.4530289994942,0.0015,999
"MAH24JUN09",584,0.00580289193302892,0.00789126264773144,0.000855119402742192,10.5,-2.44219778899362,0.0105,999
"MAE28JUL09",287,0.00561362756484708,0.0126345858053175,0.00165793911269678,1,-4.23475035162797,0.001,999
"MAH28JUL09.R1",598,0.00585284280936455,0.00776584834555849,0.000839647063309501,11.5,-2.27834481865959,0.0115,999
"MAH28JUL09.R2",489,0.00829356964326289,0.00885752828493115,0.001029332062945,303.5,-0.547887957608863,0.3035,999
"MAE30JUN09",236,0.00753295668549906,0.0144643230801423,0.00192032917770651,1,-3.60946783244815,0.001,999
"MAH30JUN09",534,0.00582605076987099,0.00837989466786803,0.000953622222948591,2,-2.67804570461936,0.002,999
"MAE30MAY09",208,0.0122863247863248,0.0157072136238803,0.00216326855756773,52.5,-1.58135189715038,0.0525,999
"MAH30MAY09",615,0.00659439927732611,0.00764052218433429,0.000827449129709443,98.5,-1.26427458733992,0.0985,999
"MAE01AUG07.R1",296,0.00619369369369369,0.0123116735353973,0.00158550167854765,1,-3.85870284748469,0.001,999
"MAE01AUG07.R2",270,0.00720164609053498,0.0132152728860548,0.00170658458269244,1,-3.52377893044846,0.001,999
"MAE01AUG08",236,0.00706214689265537,0.0143976368081829,0.00190625939543773,1,-3.84810689095288,0.001,999
"MAE01JUN05",171,0.00812215724496426,0.0179474471222359,0.0024863995500075,1,-3.95161343929701,0.001,999
"MAE01MAY08",212,0.010482180293501,0.0155797831374351,0.00212728363139396,11,-2.39629674609669,0.011,999
"MAE01NOV08",231,0.00625300625300625,0.0146146627628109,0.00196156172217647,1,-4.26275473020899,0.001,999
"MAE01OCT07.R1",400,0.00708333333333333,0.010179624068513,0.00121506853230158,6.5,-2.5482437022006,0.0065,999
"MAE01OCT07.R2",373,0.00759606791778374,0.0106506566143146,0.0013080504992927,10,-2.33522230080766,0.01,999
"MAE01SEP08",274,0.00709651257096513,0.0130613176030856,0.00167288145656129,1,-3.56558739337187,0.001,999
"MAE03AUG05",260,0.00769230769230769,0.0134966162743941,0.00175934864544634,1,-3.29912356888979,0.001,999
"MAE03JUN08",238,0.00840336134453781,0.0142934718098117,0.00184092219498677,1,-3.19954340347132,0.001,999
"MAE04JUL07.R1",278,0.0065947242206235,0.0129037910812491,0.0016345967689711,1,-3.85970838826315,0.001,999
"MAE04JUL07.R2",265,0.00628930817610063,0.0133166709686626,0.00170397126374439,1,-4.12410874648183,0.001,999
"MAE04OCT05",319,0.00679205851619645,0.0117407550357742,0.00147545818670203,1,-3.35400661582906,0.001,999
"MAE05AUG08",240,0.00717592592592593,0.0142707522337152,0.00201200521641778,1,-3.52624647784018,0.001,999
"MAE05NOV07.R1",413,0.00686037126715093,0.00990511630812949,0.00118632473164269,4.5,-2.56653592373696,0.0045,999
"MAE05NOV07.R2",398,0.00725851479620324,0.0101730708933389,0.00115669325993897,4,-2.51973120107006,0.004,999
"MAE05OCT08",340,0.00735294117647059,0.0112735284303912,0.00136118817386261,3,-2.88026837817378,0.003,999
"MAE05SEP05",301,0.00645994832041344,0.0122425858859967,0.00150519034223046,1,-3.84179821205491,0.001,999
"MAE06JUL05",278,0.00899280575539568,0.0128681839313334,0.00167852956130964,12,-2.30879352098753,0.012,999
"MAE06JUL07.R1",290,0.00766283524904215,0.0125255523722957,0.00155053147639618,1,-3.13616150157473,0.001,999
"MAE06JUL07.R2",275,0.00909090909090909,0.0129594240705352,0.00162756820617637,9,-2.37686811830416,0.009,999
"MAE06JUN08",231,0.00865800865800866,0.0145954034842924,0.00191177174112556,1,-3.10570278792178,0.001,999
"MAE08AUG07.R1",313,0.00905218317358892,0.0119098509229855,0.0014808685328778,19.5,-1.92972413549985,0.0195,999
"MAE08AUG07.R2",292,0.00703957382039574,0.0124007188314646,0.00153261737963728,1,-3.49803224359737,0.001,999
"MAE08AUG08",283,0.00844130349430703,0.0127274899556015,0.00158857094083343,2.5,-2.69813978785594,0.0025,999
"MAE08JUN05",169,0.00920447074293228,0.0181108129826079,0.00252868122520019,1,-3.52212930238784,0.001,999
"MAE08SEP08",293,0.00758437618505878,0.012491824399295,0.00159142000549965,1,-3.08369141853,0.001,999
"MAE09JUL07.R1",315,0.00776014109347443,0.0118495920965057,0.00144105330550435,2.5,-2.8378207713836,0.0025,999
"MAE09JUL07.R2",276,0.0070450885668277,0.0129890357346074,0.00164634432124782,1,-3.6103912717812,0.001,999
"MAE09OCT05",380,0.00599415204678363,0.0105492919820405,0.00125111345291216,1,-3.6408687994315,0.001,999
"MAE09OCT08",339,0.00721075057358243,0.0113141656897802,0.001403072181417,2,-2.92459302560874,0.002,999
"MAE10AUG07.R1",296,0.00525525525525525,0.0122833043253464,0.00154326761033717,1,-4.55400542525198,0.001,999
"MAE10AUG07.R2",301,0.00775193798449612,0.0122734399220187,0.00157406040398869,3,-2.87250853020956,0.003,999
"MAE11AUG05",286,0.00777000777000777,0.012630929297596,0.00162938915240211,1,-2.98327843929858,0.001,999
"MAE11SEP07.R1",369,0.00813008130081301,0.0107130617519055,0.00134165232054271,31.5,-1.92522340664802,0.0315,999
"MAE11SEP07.R2",364,0.00808913308913309,0.0108305802750247,0.00126245445953398,15,-2.17152164594009,0.015,999
"MAE12AUG08",302,0.00919793966151582,0.01220665109554,0.00154299165983687,21.5,-1.94992073666961,0.0215,999
"MAE12JUL07.R1",290,0.00708812260536398,0.0125102113607861,0.00151148821077546,1,-3.58725176734281,0.001,999
"MAE12JUL07.R2",276,0.00744766505636071,0.0129424916059377,0.0016624450870692,1,-3.30526800092028,0.001,999
"MAE13JUL05",283,0.00745975657636435,0.0127263109202646,0.00168382111645853,1,-3.12773981298977,0.001,999
"MAE13JUN08",196,0.0104875283446712,0.0163533715121017,0.00229449964147014,1.5,-2.55648031553933,0.0015,999
"MAE13SEP05",301,0.005906238464378,0.0122444334330639,0.00154956620555728,1,-4.09030278664762,0.001,999
"MAE15AUG08",307,0.00542888165038002,0.012066536315541,0.00145900743496862,1,-4.54943169313169,0.001,999
"MAE15JUN05",193,0.00662061024755325,0.0165519578300235,0.00238520367098758,1,-4.16373146799586,0.001,999
"MAE15OCT07.R1",441,0.00592088687326783,0.00952060652237019,0.00110566922469159,1,-3.25569308497888,0.001,999
"MAE15OCT07.R2",423,0.00472813238770686,0.00978519891049442,0.00115258054164991,1,-4.38760359041668,0.001,999
"MAE16JUL07.R1",290,0.00574712643678161,0.0125449203993265,0.00163652966466088,1,-4.1537859712146,0.001,999
"MAE16JUL07.R2",266,0.0068922305764411,0.0133109299775966,0.0017614814475449,1,-3.64392109272666,0.001,999
"MAE17JUL07.R1",294,0.00491307634164777,0.0124440388990654,0.00165191599937205,1,-4.55892585354241,0.001,999
"MAE17JUL07.R2",270,0.00534979423868313,0.0131728436255185,0.00176271986975818,1,-4.43805593903505,0.001,999
"MAE18AUG05",312,0.00605413105413105,0.0119797504056763,0.00149748585244395,1,-3.9570452982073,0.001,999
"MAE18SEP07.R1",408,0.0068082788671024,0.00998465786047485,0.00121189191148501,8.5,-2.62100849363721,0.0085,999
"MAE18SEP07.R2",405,0.00685871056241427,0.0100768807215995,0.00120144259361247,6,-2.67858837059282,0.006,999
"MAE19AUG08",240,0.0104166666666667,0.0143349367886405,0.00190032698140436,17,-2.06189259023107,0.017,999
"MAE19JUN08",196,0.00736961451247165,0.0163655719211275,0.00234728183350983,1,-3.83249990701133,0.001,999
"MAE20JUL05",261,0.00681140911025968,0.0134054872241335,0.00171462954798005,1,-3.84577422081757,0.001,999
"MAE20JUL07.R1",266,0.00605680868838764,0.0133138568811083,0.0017582687702757,1,-4.12738275023947,0.001,999
"MAE20JUL07.R2",233,0.00643776824034335,0.0145672615868133,0.00195118487862852,1,-4.16643929312539,0.001,999
"MAE20SEP05",348,0.00718390804597701,0.011090592508217,0.00132355402504203,2.5,-2.95166225807516,0.0025,999
"MAE20SEP08",327,0.00849473326537547,0.0115582793122718,0.0014091075839952,14,-2.17410372472085,0.014,999
"MAE22AUG07.R1",354,0.00659133709981168,0.0109800635538238,0.00132927484800078,1,-3.3015944449808,0.001,999
"MAE22AUG07.R2",300,0.00777777777777778,0.0122390909427946,0.00152609374956165,1,-2.92335458833923,0.001,999
"MAE22JUN05",237,0.00609470229723394,0.0142296539389835,0.00192175675138418,1,-4.23308081831389,0.001,999
"MAE22MAY08",275,0.00646464646464646,0.0130217085772641,0.00165733595094077,1,-3.95638682000208,0.001,999
"MAE23JUL07.R1",270,0.00843621399176955,0.0132200101335904,0.0017614840691293,4,-2.71577599006357,0.004,999
"MAE23JUL07.R2",214,0.0083073727933541,0.0154466512202753,0.00215737975111134,1.5,-3.30923585578455,0.0015,999
"MAE23OCT07.R1",126,0.00661375661375661,0.0219231577256269,0.0033546349198299,1,-4.56365639711594,0.001,999
"MAE23OCT07.R2",122,0.00683060109289617,0.0226656529024471,0.00344490302430229,1,-4.59666112451977,0.001,999
"MAE24AUG05",263,0.00528094634558513,0.0134538848100318,0.0018094859429871,1,-4.51671840619819,0.001,999
"MAE24AUG07.R1",344,0.00710594315245478,0.011190292359543,0.00139425756127497,1,-2.92940796631099,0.001,999
"MAE24AUG07.R2",326,0.00715746421267894,0.0116658922044062,0.00140192379032996,1,-3.21588664292951,0.001,999
"MAE24SEP07.R1",381,0.00699912510936133,0.0105108024326455,0.00125070986865207,2,-2.80774735316422,0.002,999
"MAE24SEP07.R2",340,0.00686274509803922,0.0113525289995878,0.00138747958240744,1,-3.23592790731976,0.001,999
"MAE25AUG08",262,0.00954198473282443,0.0134581146031528,0.00167447023167148,8,-2.33872767413679,0.008,999
"MAE25SEP05",501,0.00565535595475715,0.00869765307556392,0.000995640601375296,3,-3.05561777674031,0.003,999
"MAE26JUL07.R1",294,0.00680272108843537,0.0124574688066752,0.00151064289856936,1,-3.74327230055168,0.001,999
"MAE26JUL07.R2",270,0.00617283950617284,0.0131683123452671,0.00169439939666501,1,-4.12858553471101,0.001,999
"MAE26JUN07.R1",226,0.0063913470993117,0.0148636837427398,0.00200632421549056,1,-4.22281532466901,0.001,999
"MAE26JUN07.R2",194,0.00973654066437572,0.0165136499615308,0.00234645341444571,2,-2.88823517885866,0.002,999
"MAE27AUG07.R1",305,0.00655737704918033,0.0121432908318154,0.00148546143196058,1,-3.76038964220198,0.001,999
"MAE27AUG07.R2",318,0.00681341719077568,0.0118595184982327,0.00146622982642319,1,-3.44154866891963,0.001,999
"MAE27JUL05",259,0.00579150579150579,0.0135351997213859,0.00174655589592049,1,-4.43369373288733,0.001,999
"MAE28JUN07.R1",276,0.00744766505636071,0.0130027370365535,0.00166514294300354,1,-3.33609315856851,0.001,999
"MAE28JUN07.R2",276,0.0072463768115942,0.0129465214006277,0.0016813089265299,1,-3.39030174591303,0.001,999
"MAE29JUL08",188,0.0106382978723404,0.0167537513873211,0.00225696651267845,4,-2.70958983247084,0.004,999
"MAE29JUN05",263,0.0082382762991128,0.0133276495760653,0.00167910459746675,1,-3.03100431303135,0.001,999
"MAE30AUG05",305,0.00692167577413479,0.0121263339842575,0.00157531225299066,1.5,-3.30388987976313,0.0015,999
"MAE30JUL07.R1",231,0.00962000962000962,0.0146023849727553,0.00206059239251064,7,-2.41793348886199,0.007,999
"MAE30JUL07.R2",219,0.00887874175545408,0.0151158261254659,0.00205274557410515,2.5,-3.0384108233826,0.0025,999
"MAH01AUG07.R1",615,0.00542005420054201,0.00763563925262209,0.000843769828753102,5,-2.62581687159187,0.005,999
"MAH01AUG07.R2",559,0.00546611011727291,0.00813455077020969,0.000910027897601251,4,-2.93226247235996,0.004,999
"MAH01JUN05",603,0.00654136723788465,0.00774553805694399,0.000855148123579009,73,-1.40814297062313,0.073,999
"MAH01JUN07.R1",538,0.00629904997934738,0.0083120088283244,0.000930767889349283,10.5,-2.16268617773688,0.0105,999
"MAH01JUN07.R2",427,0.00728597449908925,0.00972023285320189,0.00112980731762462,15.5,-2.15457832157662,0.0155,999
"MAH01MAY08",491,0.00678886625933469,0.00883832463375346,0.000984382989679551,15,-2.081972561397,0.015,999
"MAH01NOV08",456,0.00730994152046784,0.00933145621254783,0.00105296274688759,22,-1.91983495907648,0.022,999
"MAH01OCT07.R1",658,0.00616345829111787,0.00727661129552382,0.000800063631054541,75.5,-1.39133059071657,0.0755,999
"MAH01OCT07.R2",606,0.0055005500550055,0.00769563109130399,0.000839254453855311,6.5,-2.61551312145545,0.0065,999
"MAH03AUG05",581,0.0065978198508319,0.0079593841307362,0.000892771425348422,66,-1.52509840844528,0.066,999
"MAH04JUL07.R1",585,0.00598290598290598,0.00787701281528442,0.000868648995608558,9.5,-2.18052037353875,0.0095,999
"MAH04JUL07.R2",479,0.00637903038738112,0.00901678760644198,0.00100992963724144,4.5,-2.61182276645106,0.0045,999
"MAH04OCT05",626,0.00638977635782748,0.00750244387092097,0.000856896183718067,106,-1.29848578420042,0.106,999
"MAH05NOV07.R1",623,0.0051721062957018,0.00756249382965987,0.000801347753203478,2.5,-2.98295905167542,0.0025,999
"MAH05NOV07.R2",548,0.00628548256285483,0.00823978885617166,0.000907407346598826,16.5,-2.15372544716773,0.0165,999
"MAH05OCT08",477,0.00628930817610063,0.00905039677459896,0.00102426063626935,2,-2.69568945708487,0.002,999
"MAH05SEP05",620,0.00501792114695341,0.00760877364820017,0.000837731712647656,1,-3.09269956255847,0.001,999
"MAH06JUL05",651,0.00657108721624851,0.00730855450090814,0.000804620858659269,181.5,-0.916540102985239,0.1815,999
