OTU,Taxonomy
Otu3353,k__Bacteria(100);p__Proteobacteria(62);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3354,k__Bacteria(100);p__TM6(81);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3355,k__Bacteria(100);p__TM6(66);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3356,k__Bacteria(100);p__Proteobacteria(99);c__Gammaproteobacteria(98);o__Legionellales(88);f__Coxiellaceae(88);g__Aquicella(88);s__(88);
Otu3358,k__Bacteria(100);p__Cyanobacteria(87);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3359,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3360,k__Bacteria(100);p__Bacteroidetes(99);c__Sphingobacteriia(73);o__Sphingobacteriales(73);f__(73);g__(73);s__(73);
Otu3361,k__Bacteria(100);p__Acidobacteria(96);c__Solibacteres(96);o__Solibacterales(96);unclassified;unclassified;unclassified;
Otu3362,k__Bacteria(100);p__Proteobacteria(98);c__Deltaproteobacteria(95);o__Myxococcales(95);f__Polyangiaceae(81);unclassified;unclassified;
Otu3363,k__Bacteria(100);p__Verrucomicrobia(98);c__[Pedosphaerae](97);o__[Pedosphaerales](97);f__[Pedosphaeraceae](60);g__Pedosphaera(60);s__(60);
Otu3364,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3365,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3366,k__Bacteria(100);p__Verrucomicrobia(94);c__[Pedosphaerae](93);o__[Pedosphaerales](93);f__(67);g__(67);s__(67);
Otu3367,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3368,k__Bacteria(100);p__Bacteroidetes(100);c__Cytophagia(99);o__Cytophagales(99);f__Cytophagaceae(99);g__Cytophaga(96);s__(96);
Otu3369,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3370,k__Bacteria(100);p__Bacteroidetes(100);c__Bacteroidia(100);o__Bacteroidales(100);f__Prevotellaceae(100);g__Prevotella(100);s__(63);
Otu3371,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3372,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3373,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3374,k__Bacteria(100);p__Proteobacteria(90);c__Gammaproteobacteria(76);unclassified;unclassified;unclassified;unclassified;
Otu3375,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3376,k__Bacteria(100);p__Proteobacteria(95);c__Deltaproteobacteria(64);unclassified;unclassified;unclassified;unclassified;
Otu3378,k__Bacteria(100);p__Verrucomicrobia(87);c__[Pedosphaerae](83);o__[Pedosphaerales](83);unclassified;unclassified;unclassified;
Otu3379,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3380,k__Bacteria(100);p__Elusimicrobia(99);c__Elusimicrobia(99);o__Elusimicrobiales(99);f__(99);g__(99);s__(99);
Otu3381,k__Bacteria(100);p__TM6(65);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3382,k__Bacteria(100);p__Cyanobacteria(60);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3383,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3384,k__Bacteria(100);p__Cyanobacteria(60);c__Chloroplast(60);unclassified;unclassified;unclassified;unclassified;
Otu3385,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3386,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3387,k__Bacteria(100);p__Proteobacteria(98);c__Gammaproteobacteria(98);o__Legionellales(94);f__Coxiellaceae(94);g__Aquicella(94);s__(94);
Otu3388,k__Bacteria(100);p__Bacteroidetes(77);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3389,k__Bacteria(100);p__Actinobacteria(100);c__OPB41(61);o__(61);f__(61);g__(61);s__(61);
Otu3390,k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);f__[Weeksellaceae](100);unclassified;unclassified;
Otu3391,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Acetobacteraceae(100);g__(87);s__(87);
Otu3392,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3393,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3394,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3395,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3396,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3397,k__Bacteria(100);p__OP3(92);c__BD4-9(92);o__(92);f__(92);g__(92);s__(92);
Otu3398,k__Bacteria(100);p__Chlorobi(100);c__BSV26(100);o__PK329(100);f__(100);g__(100);s__(100);
Otu3399,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3400,k__Bacteria(100);p__Firmicutes(93);c__Clostridia(68);o__Clostridiales(65);f__Veillonellaceae(65);unclassified;unclassified;
Otu3401,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3402,k__Bacteria(100);p__Proteobacteria(85);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3403,k__Bacteria(100);p__Bacteroidetes(97);c__[Saprospirae](85);o__[Saprospirales](85);f__Chitinophagaceae(85);g__(84);s__(84);
Otu3404,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3405,k__Bacteria(100);p__TM6(100);c__F38(100);o__(100);f__(100);g__(100);s__(100);
Otu3406,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3407,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3408,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3409,k__Bacteria(100);p__Proteobacteria(76);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3410,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3411,k__Bacteria(100);p__Proteobacteria(85);c__Deltaproteobacteria(73);o__MIZ46(67);f__(67);g__(67);s__(67);
Otu3412,k__Bacteria(100);p__Bacteroidetes(92);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3413,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3414,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3415,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3416,k__Bacteria(100);p__Proteobacteria(97);c__Deltaproteobacteria(96);o__Myxococcales(95);f__Polyangiaceae(85);g__Chondromyces(83);s__(83);
Otu3417,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3418,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3419,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3420,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3421,k__Bacteria(100);p__Proteobacteria(81);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3422,k__Bacteria(100);p__Proteobacteria(81);c__Epsilonproteobacteria(66);o__Campylobacterales(63);f__Campylobacteraceae(61);g__Campylobacter(61);unclassified;
Otu3423,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3424,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3425,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3426,k__Bacteria(100);p__Actinobacteria(64);c__Actinobacteria(63);unclassified;unclassified;unclassified;unclassified;
Otu3427,k__Bacteria(100);p__Verrucomicrobia(88);c__[Pedosphaerae](82);o__[Pedosphaerales](82);unclassified;unclassified;unclassified;
Otu3428,k__Bacteria(100);p__Proteobacteria(94);c__Deltaproteobacteria(88);o__Myxococcales(84);unclassified;unclassified;unclassified;
Otu3429,k__Bacteria(100);p__Cyanobacteria(91);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3430,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3431,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3432,k__Bacteria(100);p__Proteobacteria(94);c__Alphaproteobacteria(92);o__Rhizobiales(85);unclassified;unclassified;unclassified;
Otu3433,k__Bacteria(100);p__Bacteroidetes(99);c__[Saprospirae](70);o__[Saprospirales](70);f__Chitinophagaceae(69);g__(61);s__(61);
Otu3434,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3435,k__Bacteria(100);p__TM7(94);c__SC3(94);o__(94);f__(94);g__(94);s__(94);
Otu3436,k__Bacteria(100);p__Proteobacteria(64);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3437,k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](100);o__[Pedosphaerales](99);f__[Pedosphaeraceae](86);g__Pedosphaera(86);s__(86);
Otu3438,k__Bacteria(100);p__Verrucomicrobia(97);c__[Spartobacteria](89);o__[Chthoniobacterales](89);f__[Chthoniobacteraceae](89);g__heteroC45_4W(67);s__(67);
Otu3439,k__Bacteria(100);p__Cyanobacteria(100);c__Synechococcophycideae(100);o__Synechococcales(100);f__Synechococcaceae(99);g__Synechococcus(98);s__(98);
Otu3440,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Rhodocyclales(96);f__Rhodocyclaceae(96);g__Uliginosibacterium(87);s__(87);
Otu3441,k__Bacteria(100);p__Proteobacteria(96);c__Alphaproteobacteria(68);o__Rickettsiales(63);f__(63);g__(63);s__(63);
Otu3442,k__Bacteria(100);p__Proteobacteria(91);c__Deltaproteobacteria(85);unclassified;unclassified;unclassified;unclassified;
Otu3443,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3444,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3446,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3447,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3448,k__Bacteria(100);p__Proteobacteria(91);c__Alphaproteobacteria(80);unclassified;unclassified;unclassified;unclassified;
Otu3449,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3450,k__Bacteria(100);p__Firmicutes(78);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3451,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3452,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3453,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3454,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(99);o__Rhodospirillales(99);f__Acetobacteraceae(99);unclassified;unclassified;
Otu3455,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3456,k__Bacteria(100);p__Planctomycetes(84);c__Phycisphaerae(83);o__WD2101(80);f__(80);g__(80);s__(80);
Otu3457,k__Bacteria(100);p__Proteobacteria(71);c__Alphaproteobacteria(61);unclassified;unclassified;unclassified;unclassified;
Otu3458,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3459,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3460,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(97);unclassified;unclassified;unclassified;unclassified;
Otu3461,k__Bacteria(100);p__Firmicutes(90);c__Clostridia(89);o__Clostridiales(89);f__Clostridiaceae(88);g__Clostridium(85);s__(82);
Otu3462,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3463,k__Bacteria(100);p__Planctomycetes(99);c__Planctomycetia(99);o__Pirellulales(99);f__Pirellulaceae(99);g__(97);s__(97);
Otu3464,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3465,k__Bacteria(100);p__Armatimonadetes(100);c__Armatimonadia(100);o__FW68(100);f__(100);g__(100);s__(100);
Otu3466,k__Bacteria(100);p__Bacteroidetes(100);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3467,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3468,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3470,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3471,k__Bacteria(100);p__Proteobacteria(93);c__TA18(82);o__PHOS-HD29(82);f__(82);g__(82);s__(82);
Otu3472,k__Bacteria(100);p__Proteobacteria(63);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3473,k__Bacteria(100);p__Proteobacteria(61);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3474,k__Bacteria(100);p__Proteobacteria(99);c__Gammaproteobacteria(98);o__Legionellales(92);f__Coxiellaceae(92);g__Aquicella(92);s__(92);
Otu3475,k__Bacteria(100);p__Cyanobacteria(71);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3476,k__Bacteria(100);p__Chlamydiae(93);c__Chlamydiia(93);o__Chlamydiales(93);unclassified;unclassified;unclassified;
Otu3477,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3478,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3479,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3480,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3481,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3482,k__Bacteria(100);p__Verrucomicrobia(100);c__[Spartobacteria](100);o__[Chthoniobacterales](100);f__[Chthoniobacteraceae](100);g__CandidatusXiphinematobacter(100);s__(100);
Otu3483,k__Bacteria(100);p__Chloroflexi(95);c__Anaerolineae(94);o__Anaerolineales(86);f__Anaerolinaceae(86);g__Bellilinea(84);s__(84);
Otu3484,k__Bacteria(100);p__TM6(63);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3485,k__Bacteria(100);p__Chlamydiae(87);c__Chlamydiia(87);o__Chlamydiales(87);f__Parachlamydiaceae(86);g__Parachlamydia(85);s__acanthamoebae(85);
Otu3486,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3487,k__Bacteria(100);p__Proteobacteria(93);c__Deltaproteobacteria(84);o__Bdellovibrionales(76);f__Bdellovibrionaceae(68);g__Bdellovibrio(68);s__(68);
Otu3488,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3489,k__Bacteria(100);p__Proteobacteria(96);c__Deltaproteobacteria(92);o__MIZ46(89);f__(89);g__(89);s__(89);
Otu3490,k__Bacteria(100);p__Planctomycetes(97);c__Planctomycetia(97);o__Pirellulales(97);f__Pirellulaceae(97);g__(97);s__(97);
Otu3491,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3492,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3493,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3494,k__Bacteria(100);p__Chloroflexi(97);c__Anaerolineae(96);unclassified;unclassified;unclassified;unclassified;
Otu3495,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3496,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3497,k__Bacteria(100);p__Acidobacteria(99);c__Solibacteres(99);o__Solibacterales(99);unclassified;unclassified;unclassified;
Otu3498,k__Bacteria(100);p__Bacteroidetes(92);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3499,k__Bacteria(100);p__Proteobacteria(92);c__Gammaproteobacteria(80);unclassified;unclassified;unclassified;unclassified;
Otu3500,k__Bacteria(100);p__Fibrobacteres(99);c__TG3(99);o__TG3-1(99);f__TSCOR003-O20(99);g__(99);s__(99);
Otu3501,k__Bacteria(100);p__Bacteroidetes(89);c__Cytophagia(67);o__Cytophagales(67);unclassified;unclassified;unclassified;
Otu3502,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3503,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3504,k__Bacteria(100);p__Proteobacteria(65);c__Gammaproteobacteria(64);unclassified;unclassified;unclassified;unclassified;
Otu3505,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3506,k__Bacteria(100);p__Proteobacteria(97);c__Gammaproteobacteria(86);unclassified;unclassified;unclassified;unclassified;
Otu3507,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3508,k__Bacteria(100);p__Chlamydiae(90);c__Chlamydiia(90);o__Chlamydiales(90);f__Parachlamydiaceae(79);g__Parachlamydia(75);s__acanthamoebae(75);
Otu3509,k__Bacteria(100);p__Planctomycetes(96);c__Phycisphaerae(96);o__WD2101(96);f__(96);g__(96);s__(96);
Otu3510,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3511,k__Bacteria(100);p__Proteobacteria(99);c__Alphaproteobacteria(99);o__Rhodospirillales(99);f__Rhodospirillaceae(97);g__Telmatospirillum(97);s__(63);
Otu3512,k__Bacteria(100);p__Proteobacteria(65);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3513,k__Bacteria(100);p__Actinobacteria(63);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3514,k__Bacteria(100);p__Proteobacteria(96);c__Gammaproteobacteria(91);unclassified;unclassified;unclassified;unclassified;
Otu3515,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3516,k__Bacteria(100);p__Proteobacteria(86);c__Deltaproteobacteria(65);unclassified;unclassified;unclassified;unclassified;
Otu3517,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Methylococcales(77);unclassified;unclassified;unclassified;
Otu3518,k__Bacteria(100);p__Planctomycetes(100);c__Phycisphaerae(100);o__Phycisphaerales(100);f__(100);g__(100);s__(100);
Otu3519,k__Bacteria(100);p__Cyanobacteria(99);c__4C0d-2(98);o__YS2(98);f__(98);g__(98);s__(98);
Otu3520,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3521,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3522,k__Bacteria(100);p__Proteobacteria(95);c__Deltaproteobacteria(88);o__Syntrophobacterales(83);f__Syntrophorhabdaceae(82);g__(82);s__(82);
Otu3523,k__Bacteria(100);p__Acidobacteria(68);c__Acidobacteriia(63);o__Acidobacteriales(63);unclassified;unclassified;unclassified;
Otu3524,k__Bacteria(100);p__Verrucomicrobia(95);c__[Pedosphaerae](93);o__[Pedosphaerales](93);f__auto67_4W(60);g__(60);s__(60);
Otu3525,k__Bacteria(100);p__Proteobacteria(96);c__Gammaproteobacteria(89);unclassified;unclassified;unclassified;unclassified;
Otu3526,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3527,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3528,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3529,k__Bacteria(100);p__Bacteroidetes(99);c__Sphingobacteriia(95);o__Sphingobacteriales(95);f__(94);g__(94);s__(94);
Otu3530,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(91);o__Rhodospirillales(85);f__Rhodospirillaceae(74);g__(74);s__(74);
Otu3531,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3532,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__(90);s__(90);
Otu3533,k__Bacteria(100);p__Bacteroidetes(100);c__Sphingobacteriia(100);o__Sphingobacteriales(100);f__Sphingobacteriaceae(100);unclassified;unclassified;
Otu3534,k__Bacteria(100);p__Bacteroidetes(100);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3535,k__Bacteria(100);p__SR1(73);c__(73);o__(73);f__(73);g__(73);s__(73);
Otu3536,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3537,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3538,k__Bacteria(100);p__Bacteroidetes(100);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3539,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3540,k__Bacteria(100);p__Proteobacteria(92);c__Gammaproteobacteria(87);unclassified;unclassified;unclassified;unclassified;
Otu3541,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(87);f__Erythrobacteraceae(65);g__Erythromicrobium(62);unclassified;
Otu3542,k__Bacteria(100);p__Cyanobacteria(96);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3543,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(97);f__Beijerinckiaceae(63);g__Beijerinckia(63);s__(63);
Otu3544,k__Bacteria(100);p__Proteobacteria(90);c__Alphaproteobacteria(88);o__Rhizobiales(76);unclassified;unclassified;unclassified;
Otu3545,k__Bacteria(100);p__Proteobacteria(99);c__Deltaproteobacteria(94);o__GW-28(93);f__(93);g__(93);s__(93);
Otu3546,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(97);o__Rhodospirillales(97);f__Acetobacteraceae(97);unclassified;unclassified;
Otu3547,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(93);unclassified;unclassified;unclassified;unclassified;
Otu3548,k__Bacteria(100);p__Proteobacteria(91);c__Epsilonproteobacteria(85);unclassified;unclassified;unclassified;unclassified;
Otu3549,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3550,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3551,k__Bacteria(100);p__Verrucomicrobia(98);c__[Pedosphaerae](97);o__[Pedosphaerales](97);unclassified;unclassified;unclassified;
Otu3552,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3553,k__Bacteria(100);p__Firmicutes(100);c__Bacilli(100);o__Bacillales(100);f__Paenibacillaceae(85);g__Paenibacillus(85);unclassified;
Otu3554,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3555,k__Bacteria(100);p__Cyanobacteria(63);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3556,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3557,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3558,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Thermomonosporaceae(64);g__Actinoallomurus(64);s__(64);
Otu3559,k__Bacteria(100);p__Proteobacteria(83);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3560,k__Bacteria(100);p__Proteobacteria(72);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3561,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3562,k__Bacteria(100);p__Proteobacteria(78);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3563,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3564,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3565,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3566,k__Bacteria(100);p__Proteobacteria(78);c__Gammaproteobacteria(62);unclassified;unclassified;unclassified;unclassified;
Otu3567,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3568,k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(75);o__Flavobacteriales(75);f__[Weeksellaceae](62);unclassified;unclassified;
Otu3569,k__Bacteria(100);p__TM6(77);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3570,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(92);unclassified;unclassified;unclassified;
Otu3571,k__Bacteria(100);p__Verrucomicrobia(93);c__[Spartobacteria](91);o__[Chthoniobacterales](91);f__[Chthoniobacteraceae](91);unclassified;unclassified;
Otu3572,k__Bacteria(100);p__Cyanobacteria(69);c__Chloroplast(66);unclassified;unclassified;unclassified;unclassified;
Otu3573,k__Bacteria(100);p__Proteobacteria(89);c__Gammaproteobacteria(76);unclassified;unclassified;unclassified;unclassified;
Otu3574,k__Bacteria(100);p__Verrucomicrobia(100);c__Verrucomicrobiae(100);o__Verrucomicrobiales(100);f__Verrucomicrobiaceae(100);g__Luteolibacter(100);s__(100);
Otu3575,k__Bacteria(100);p__Spirochaetes(63);c__Spirochaetes(63);o__Spirochaetales(63);f__Spirochaetaceae(63);g__Treponema(62);s__phagedenis(62);
Otu3576,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3577,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(93);o__Procabacteriales(90);f__Procabacteriaceae(90);g__(90);s__(90);
Otu3578,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Beijerinckiaceae(99);g__Beijerinckia(99);s__(99);
Otu3579,k__Bacteria(100);p__Bacteroidetes(98);c__[Saprospirae](71);o__[Saprospirales](71);f__(69);g__(69);s__(69);
Otu3581,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3582,k__Bacteria(100);p__Proteobacteria(95);c__Betaproteobacteria(95);o__SBla14(65);f__(65);g__(65);s__(65);
Otu3583,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3584,k__Bacteria(100);p__Verrucomicrobia(92);c__[Methylacidiphilae](76);o__S-BQ2-57(65);f__(65);g__(65);s__(65);
Otu3585,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__(100);
Otu3586,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Enterobacteriales(100);f__Enterobacteriaceae(100);g__Serratia(99);s__(94);
Otu3587,k__Bacteria(100);p__Proteobacteria(71);c__Deltaproteobacteria(63);o__Bdellovibrionales(61);f__Bacteriovoracaceae(60);unclassified;unclassified;
Otu3588,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu3589,k__Bacteria(100);p__Verrucomicrobia(65);c__Opitutae(65);unclassified;unclassified;unclassified;unclassified;
