OTU,Taxonomy
Otu0103,k__Bacteria(100);p__Verrucomicrobia(98);c__[Spartobacteria](97);o__[Chthoniobacterales](97);f__[Chthoniobacteraceae](97);g__CandidatusXiphinematobacter(97);s__(97);
Otu0104,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);betVII(100);betVII-B(100);betVII-B1(100);unclassified;
Otu0105,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);betIII(100);betIII-A(100);betIII-A1(89);unclassified;
Otu0106,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(99);unclassified;unclassified;unclassified;
Otu0107,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylocystaceae(98);g__(98);s__(98);
Otu0108,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);betI(100);betI-A(100);Lhab-A1(86);unclassified;
Otu0109,k__Bacteria(100);p__Proteobacteria(99);c__Alphaproteobacteria(98);o__Caulobacterales(71);f__Caulobacteraceae(71);g__(63);s__(63);
Otu0110,k__Bacteria(100);p__Proteobacteria(94);c__Deltaproteobacteria(89);o__MIZ46(84);f__(84);g__(84);s__(84);
Otu0111,k__Bacteria(100);p__Proteobacteria(98);c__Gammaproteobacteria(84);unclassified;unclassified;unclassified;unclassified;
Otu0112,k__Bacteria(100);p__Elusimicrobia(97);c__Elusimicrobia(97);o__Elusimicrobiales(97);f__(97);g__(97);s__(97);
Otu0113,k__Bacteria(100);p__Planctomycetes(100);c__Phycisphaerae(100);o__MSBL9(98);f__(98);g__(98);s__(98);
Otu0114,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0115,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(93);o__Burkholderiales(77);f__Oxalobacteraceae(77);unclassified;unclassified;
Otu0116,k__Bacteria(100);p__Bacteroidetes(100);c__Sphingobacteriia(100);o__Sphingobacteriales(100);f__Sphingobacteriaceae(100);g__Pedobacter(100);s__(100);
Otu0117,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0118,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0119,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(93);unclassified;unclassified;unclassified;
Otu0120,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);alfIV(100);alfIV-A(92);Novo-A2(92);unclassified;
Otu0121,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0122,k__Bacteria(100);p__Proteobacteria(99);c__Gammaproteobacteria(91);o__Alteromonadales(65);f__Alteromonadaceae(65);g__Marinobacter(65);s__bryozoorum(65);
Otu0123,k__Bacteria(100);p__Cyanobacteria(100);c__4C0d-2(100);o__YS2(100);f__(100);g__(100);s__(100);
Otu0124,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Legionellales(96);f__Legionellaceae(96);g__Legionella(85);unclassified;
Otu0125,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Methylococcales(67);unclassified;unclassified;unclassified;
Otu0126,k__Bacteria(100);p__Chlamydiae(62);c__Chlamydiia(62);o__Chlamydiales(62);unclassified;unclassified;unclassified;
Otu0127,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0128,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(100);g__Methylobacterium(100);s__adhaesivum(100);
Otu0129,k__Bacteria(100);p__NKB19(65);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0130,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(95);g__Novosphingobium(94);s__stygium(65);
Otu0131,k__Bacteria(100);p__Proteobacteria(97);c__Deltaproteobacteria(94);unclassified;unclassified;unclassified;unclassified;
Otu0132,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0133,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0134,k__Bacteria(100);p__Verrucomicrobia(86);c__[Methylacidiphilae](80);o__S-BQ2-57(79);f__(79);g__(79);s__(79);
Otu0135,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(98);o__Bdellovibrionales(96);f__Bacteriovoracaceae(96);g__(93);s__(93);
Otu0136,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__MIZ46(100);f__(100);g__(100);s__(100);
Otu0137,k__Bacteria(100);p__Proteobacteria(88);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0138,k__Bacteria(100);p__Cyanobacteria(76);c__4C0d-2(74);o__MLE1-12(66);f__(66);g__(66);s__(66);
Otu0139,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0140,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0141,k__Bacteria(100);p__Verrucomicrobia(99);c__Verrucomicrobiae(99);o__Verrucomicrobiales(99);f__Verrucomicrobiaceae(99);g__Luteolibacter(81);s__(81);
Otu0142,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(93);o__Burkholderiales(72);unclassified;unclassified;unclassified;unclassified;
Otu0143,k__Bacteria(100);p__Bacteroidetes(100);c__[Saprospirae](99);o__[Saprospirales](99);f__Chitinophagaceae(99);unclassified;unclassified;
Otu0144,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0145,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(99);o__Legionellales(97);f__Legionellaceae(97);unclassified;unclassified;
Otu0146,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0147,k__Bacteria(100);p__Bacteroidetes(99);unclassified;unclassified;unclassified;unclassified;unclassified;
