,Kingdom,Phylum,Class,Order,Lineage,Clade,Tribe
Otu0030,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,unclassified,unclassified,unclassified
Otu0031,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0032,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__stygium
Otu0033,k__Bacteria,p__TM6,c__SBRH58,o__,f__,g__,s__
Otu0034,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,alfI,alfI-B,alfI-B2
Otu0035,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0036,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0037,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__WCHB1-81,f__At425_EubF1,g__,s__
Otu0038,k__Bacteria,p__Lentisphaerae,c__[Lentisphaeria],o__Victivallales,f__Victivallaceae,g__,s__
Otu0039,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0040,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,acI,acI-A,acI-A7
Otu0041,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,unclassified
Otu0042,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,betI,betI-B,Rhodo
Otu0043,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0044,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0045,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,gamI,unclassified,unclassified,unclassified
Otu0046,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0047,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0048,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Luteolibacter,s__
Otu0049,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Syntrophus,s__
Otu0050,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,unclassified,unclassified
Otu0051,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0052,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0053,k__Bacteria,p__Verrucomicrobia,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0054,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Paludibacter,s__
Otu0055,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__heteroC45_4W,s__
Otu0056,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0057,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,gamII,gamII-A,gamII-A1
Otu0058,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu0059,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0060,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],unclassified,unclassified
Otu0061,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0062,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0063,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0064,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0065,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0066,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0067,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Mycoplana,s__
Otu0068,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0069,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0070,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__azotifigens
Otu0071,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Syntrophus,s__
Otu0072,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Telmatospirillum,s__
Otu0073,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__,s__
Otu0074,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__SBla14,f__,g__,s__
Otu0075,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,unclassified,unclassified
Otu0076,k__Bacteria,p__Bacteroidetes,c__Sphingobacteria,o__Sphingobacteriales,bacI,bacI-A,bacI-A1
Otu0077,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0078,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Mycetocola,s__
Otu0079,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,alfV,alfV-A,LD12
Otu0080,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0081,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,s__
Otu0082,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0083,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0084,k__Bacteria,p__Bacteroidetes,c__Flavobacteria,o__Flavobacteriales,bacV,unclassified,unclassified
Otu0085,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,unclassified,unclassified,unclassified
Otu0086,k__Bacteria,p__Planctomycetes,c__Planctomycetia,unclassified,unclassified,unclassified,unclassified
Otu0087,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu0088,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,unclassified,unclassified,unclassified
Otu0089,k__Bacteria,p__Spirochaetes,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__phagedenis
Otu0090,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__,s__
Otu0091,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0092,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,unclassified,unclassified,unclassified
Otu0093,k__Bacteria,p__OP3,c__PBS-25,o__,f__,g__,s__
Otu0094,k__Bacteria,p__Bacteroidetes,c__Sphingobacteria,o__Sphingobacteriales,bacI,unclassified,unclassified
Otu0095,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0096,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__heteroC45_4W,s__
Otu0097,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,betII,Pnec,PnecC
Otu0098,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,Luna1,Luna1-A,Luna1-A3
Otu0099,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__
Otu0100,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__mesophilicum
Otu0101,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0102,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0103,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__CandidatusXiphinematobacter,s__
Otu0104,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,betVII,betVII-B,betVII-B1
Otu0105,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,betIII,betIII-A,betIII-A1
Otu0106,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,unclassified,unclassified,unclassified
Otu0107,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__,s__
Otu0108,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,betI,betI-A,Lhab-A1
Otu0109,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__
Otu0110,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu0111,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0112,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__,g__,s__
Otu0113,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__MSBL9,f__,g__,s__
Otu0114,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0115,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,unclassified,unclassified
Otu0116,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__
Otu0117,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0118,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0119,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__
Otu0120,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,alfIV,alfIV-A,Novo-A2
Otu0121,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0122,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0123,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__YS2,f__,g__,s__
Otu0124,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__
Otu0125,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,unclassified,unclassified,unclassified
Otu0126,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0127,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0128,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__adhaesivum
Otu0129,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0130,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__stygium
Otu0131,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0132,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0133,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0134,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilae],o__S-BQ2-57,f__,g__,s__
Otu0135,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bacteriovoracaceae,g__,s__
Otu0136,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu0137,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0138,k__Bacteria,p__Cyanobacteria,c__4C0d-2,unclassified,unclassified,unclassified,unclassified
Otu0139,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0140,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0141,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Luteolibacter,s__
Otu0142,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,betII,Pnec,PnecB
Otu0143,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,unclassified,unclassified
Otu0144,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0145,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,unclassified,unclassified
Otu0146,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0147,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0148,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0149,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0150,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0151,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,unclassified,unclassified,unclassified
Otu0152,k__Bacteria,p__Spirochaetes,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__phagedenis
Otu0153,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0154,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0155,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0156,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,unclassified,unclassified,unclassified
Otu0157,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0158,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0159,k__Bacteria,p__Spirochaetes,c__[Leptospirae],o__[Leptospirales],f__Sediment-4,g__SJA-88,s__
Otu0160,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0161,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0162,k__Bacteria,p__Cyanobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0163,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__CandidatusSolibacter,s__
Otu0164,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__,g__,s__
Otu0165,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0166,k__Bacteria,p__Bacteroidetes,c__Flavobacteria,o__Flavobacteriales,bacV,unclassified,unclassified
Otu0167,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0168,k__Bacteria,p__TM6,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0169,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0170,k__Bacteria,p__Verrucomicrobia,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0171,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0172,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilae],o__S-BQ2-57,f__,g__,s__
Otu0173,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu0174,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
Otu0175,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0176,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,alfI,alfI-B,alfI-B1
Otu0177,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,unclassified,unclassified
Otu0178,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,unclassified,unclassified,unclassified
Otu0179,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0180,k__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__,s__
Otu0181,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__heteroC45_4W,s__
Otu0182,k__Bacteria,p__Bacteroidetes,c__Sphingobacteria,o__Sphingobacteriales,bacVI,bacVI-B,Pedo
Otu0183,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],unclassified,unclassified,unclassified
Otu0184,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,acI,acI-B,acI-B3
Otu0185,k__Bacteria,p__OD1,c__ABY1,o__,f__,g__,s__
Otu0186,k__Bacteria,p__OP3,c__,o__,f__,g__,s__
Otu0187,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0188,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0189,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,acI,acI-B,acI-B2
Otu0190,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,betIII,betIII-A,betIII-A1
Otu0191,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0192,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0193,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0194,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0195,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0196,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0197,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,alfI,alfI-B,alfI-B2
Otu0198,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__auto67_4W,g__,s__
Otu0199,k__Bacteria,p__Cyanobacteria,c__4C0d-2,unclassified,unclassified,unclassified,unclassified
Otu0200,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0201,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__auto67_4W,g__,s__
Otu0202,k__Bacteria,p__Spirochaetes,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__HAW-RM37,s__
Otu0203,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophorhabdaceae,g__,s__
Otu0204,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0205,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Syntrophus,s__
Otu0206,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0207,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0208,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__,g__,s__
Otu0209,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomondales,gamIII,gamIII-A,Acin
Otu0210,k__Bacteria,p__SR1,c__,o__,f__,g__,s__
Otu0211,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0212,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0213,k__Bacteria,p__Bacteroidetes,c__Sphingobacteria,o__Sphingobacteriales,bacI,bacI-A,unclassified
Otu0214,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0215,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__,g__,s__
Otu0216,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Ellin329,f__,g__,s__
Otu0217,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,alfII,alfII-A,Brev
Otu0218,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0219,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0220,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__Sediminibacterium,s__
Otu0221,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0222,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,unclassified,unclassified
Otu0223,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0224,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,alfIV,alfIV-A,Novo-A1
Otu0225,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0226,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0227,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0228,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,unclassified,unclassified
Otu0229,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0230,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,acI,acI-A,Phila
Otu0231,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,s__
Otu0232,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,unclassified,unclassified,unclassified
Otu0233,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],unclassified,unclassified
Otu0234,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Telmatospirillum,s__
Otu0235,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0236,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0237,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Luteolibacter,s__
Otu0238,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0239,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0240,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,unclassified,unclassified
Otu0241,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0242,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__heteroC45_4W,s__
Otu0243,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__,s__
Otu0244,k__Bacteria,p__Verrucomicrobia,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0245,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
