,Polymictic,Dimictic,Meromictic,index,IndicatorValue,p.value
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__aurantia1,1,0,0,1,0.164774028,1.00E-04
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta,1,0,0,1,0.164774028,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIV,1,0,0,1,0.149152175,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A;gamII-A2,1,0,0,1,0.13598923,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A;gamII-A21,1,0,0,1,0.13598923,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,1,0,0,1,0.10908186,4.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales,1,0,0,1,0.10908186,4.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,1,0,0,1,0.093709898,0.0013
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae,1,0,0,1,0.073780936,0.0319
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales,1,0,0,1,0.070904738,0.0417
k__Bacteria;p__Armatimonadetes,1,0,0,1,0.070653429,0.0459
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Aquitalea,1,0,0,1,0.062670647,0.0818
k__Bacteria;p__Acidobacteria,0,1,0,2,0.556844844,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales,0,1,0,2,0.553211519,1.00E-04
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae,0,1,0,2,0.546628875,1.00E-04
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,0,1,0,2,0.546628875,1.00E-04
k__Bacteria;p__Acidobacteria;c__Holophagae,0,1,0,2,0.546628875,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae,0,1,0,2,0.516889015,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus,0,1,0,2,0.445302607,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae,0,1,0,2,0.416376097,1.00E-04
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae,0,1,0,2,0.370680426,1.00E-04
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,0,1,0,2,0.362914198,1.00E-04
k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0,1,0,2,0.362914198,1.00E-04
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales,0,1,0,2,0.356283984,1.00E-04
k__Bacteria;p__Chlorobi;c__Ignavibacteria,0,1,0,2,0.356283984,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;gamI,0,1,0,2,0.341286247,1.00E-04
k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae,0,1,0,2,0.338074705,1.00E-04
k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales,0,1,0,2,0.338074705,1.00E-04
k__Bacteria;p__Chlorobi;c__Chlorobia,0,1,0,2,0.338074705,1.00E-04
k__Bacteria;p__Proteobacteria,0,1,0,2,0.336913126,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales,0,1,0,2,0.333993236,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-B;bacI-B11,0,1,0,2,0.326540993,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-B,0,1,0,2,0.326540993,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__S-BQ2-57,0,1,0,2,0.308606236,1.00E-04
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus;s__meridiei1,0,1,0,2,0.303383907,1.00E-04
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus,0,1,0,2,0.303383907,1.00E-04
k__Bacteria;p__Chlorobi,0,1,0,2,0.299755248,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter,0,1,0,2,0.299580493,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-B;bacI-B1,0,1,0,2,0.289997877,1.00E-04
