lakeid,year4,daynum,sampledate,depth,rep,sta,event,wtemp,o2,o2sat,deck,light,frlight,flagdepth,flagwtemp,flago2,flago2sat,flagdeck,flaglight,flagfrlight
"CB",2005,124,2005-05-04,1.75,1,1,"Non-chem",,,,1695,29.68,0.018,,,,,,,
"CB",2005,124,2005-05-04,2.00,1,1,"Non-chem",6.80,8.6,74.8,1661,20.30,0.012,,,,,,,
"CB",2005,137,2005-05-17,0.00,1,1,"Chem",11.30,10.5,101.7,475,332.52,0.700,,,,,,,
"CB",2005,137,2005-05-17,0.25,1,1,"Chem",,,,476,148.39,0.312,,,,,,,
"CB",2005,137,2005-05-17,0.50,1,1,"Chem",,,,477,74.43,0.156,,,,,,,
"CB",2005,137,2005-05-17,0.75,1,1,"Chem",,,,477,40.31,0.085,,,,,,,
"CB",2005,137,2005-05-17,1.00,1,1,"Chem",9.90,10.2,95.7,477,23.32,0.049,,,,,,,
"CB",2005,137,2005-05-17,1.25,1,1,"Chem",,,,459,17.96,0.039,,,,,,,
"CB",2005,137,2005-05-17,1.50,1,1,"Chem",,,,456,9.19,0.020,,,,,,,
"CB",2005,137,2005-05-17,1.75,1,1,"Chem",,,,458,5.23,0.011,,,,,,,
"CB",2005,137,2005-05-17,2.00,1,1,"Chem",7.50,3.7,32.8,458,3.25,0.007,,,,,,,
"CB",2005,137,2005-05-17,2.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2005,153,2005-06-02,0.00,1,1,"Non-chem",24.10,8.6,108.6,1368,1328.60,0.971,,,,,,,
"CB",2005,153,2005-06-02,0.00,2,1,"Non-chem",,,,,,,,,,,,,
"CB",2005,153,2005-06-02,0.25,1,1,"Non-chem",,,,1429,855.32,0.599,,,,,,,
"CB",2005,153,2005-06-02,0.50,1,1,"Non-chem",,,,1517,437.50,0.288,,,,,,,
"CB",2005,153,2005-06-02,0.75,1,1,"Non-chem",,,,1740,274.02,0.157,,,,,,,
"CB",2005,153,2005-06-02,1.00,1,1,"Non-chem",17.50,5.0,55.5,1821,145.94,0.080,,,,,,,
"CB",2005,153,2005-06-02,1.25,1,1,"Non-chem",,,,1860,91.66,0.049,,,,,,,
"CB",2005,153,2005-06-02,1.50,1,1,"Non-chem",,,,1774,63.10,0.036,,,,,,,
"CB",2005,153,2005-06-02,1.75,1,1,"Non-chem",,,,1828,40.75,0.022,,,,,,,
"CB",2005,153,2005-06-02,2.00,1,1,"Non-chem",10.20,1.9,17.9,1850,19.01,0.010,,,,,,,
"CB",2005,166,2005-06-15,0.00,1,1,"Chem",22.80,6.4,78.9,1661,1179.10,0.710,,,,,,,
"CB",2005,166,2005-06-15,0.25,1,1,"Chem",,,,1664,775.61,0.466,,,,,,,
"CB",2005,166,2005-06-15,0.50,1,1,"Chem",,,,1691,486.51,0.288,,,,,,,
"CB",2005,166,2005-06-15,0.75,1,1,"Chem",,,,1686,280.68,0.166,,,,,,,
"CB",2005,166,2005-06-15,1.00,1,1,"Chem",21.10,6.0,71.6,1623,185.96,0.115,,,,,,,
"CB",2005,166,2005-06-15,1.25,1,1,"Chem",,,,1112,92.97,0.084,,,,,,,
"CB",2005,166,2005-06-15,1.50,1,1,"Chem",,,,1101,46.46,0.042,,,,,,,
"CB",2005,166,2005-06-15,1.75,1,1,"Chem",,,,1139,29.37,0.026,,,,,,,
"CB",2005,166,2005-06-15,2.00,1,1,"Chem",12.80,0.8,8.0,1204,15.59,0.013,,,,,,,
"CB",2005,166,2005-06-15,2.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2005,180,2005-06-29,0.00,1,1,"Non-chem",24.10,7.3,92.2,552,335.85,0.608,,,,,,,
"CB",2005,180,2005-06-29,0.00,2,1,"Non-chem",,,,,,,,,,,,,
"CB",2005,180,2005-06-29,0.25,1,1,"Non-chem",,,,555,195.17,0.352,,,,,,,
"CB",2005,180,2005-06-29,0.50,1,1,"Non-chem",,,,559,108.58,0.194,,,,,,,
"CB",2005,180,2005-06-29,0.75,1,1,"Non-chem",,,,565,63.94,0.113,,,,,,,
"CB",2005,180,2005-06-29,1.00,1,1,"Non-chem",24.00,6.8,85.7,571,33.16,0.058,,,,,,,
"CB",2005,180,2005-06-29,1.25,1,1,"Non-chem",,,,577,27.15,0.047,,,,,,,
"CB",2005,180,2005-06-29,1.50,1,1,"Non-chem",,,,581,14.91,0.026,,,,,,,
"CB",2005,180,2005-06-29,1.75,1,1,"Non-chem",,,,584,7.99,0.014,,,,,,,
"CB",2005,180,2005-06-29,2.00,1,1,"Non-chem",16.50,0.2,2.2,587,4.16,0.007,,,,,,,
"CB",2005,194,2005-07-13,0.00,1,1,"Chem",26.90,7.9,105.1,1574,909.91,0.578,,,,,,,
"CB",2005,194,2005-07-13,0.25,1,1,"Chem",,,,1485,580.43,0.391,,,,,,,
"CB",2005,194,2005-07-13,0.50,1,1,"Chem",,,,1484,349.60,0.236,,,,,,,
"CB",2005,194,2005-07-13,0.75,1,1,"Chem",,,,1402,190.49,0.136,,,,,,,
"CB",2005,194,2005-07-13,1.00,1,1,"Chem",24.70,7.0,89.4,1345,125.18,0.093,,,,,,,
"CB",2005,194,2005-07-13,1.25,1,1,"Chem",,,,1511,47.82,0.032,,,,,,,
"CB",2005,194,2005-07-13,1.50,1,1,"Chem",,,,1451,27.98,0.019,,,,,,,
"CB",2005,194,2005-07-13,1.75,1,1,"Chem",,,,1417,13.63,0.010,,,,,,,
"CB",2005,194,2005-07-13,2.00,1,1,"Chem",16.90,0.3,3.3,1372,8.00,0.006,,,,,,,
"CB",2005,194,2005-07-13,2.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2005,208,2005-07-27,0.00,1,1,"Non-chem",22.30,6.4,78.1,1371,873.38,0.637,,,,,,,
"CB",2005,208,2005-07-27,0.25,1,1,"Non-chem",,,,1373,503.97,0.367,,,,,,,
"CB",2005,208,2005-07-27,0.50,1,1,"Non-chem",,,,1388,230.61,0.166,,,,,,,
"CB",2005,208,2005-07-27,0.75,1,1,"Non-chem",,,,1388,110.33,0.079,,,,,,,
"CB",2005,208,2005-07-27,1.00,1,1,"Non-chem",22.00,5.9,71.6,1353,62.45,0.046,,,,,,,
"CB",2005,208,2005-07-27,1.25,1,1,"Non-chem",,,,1303,35.32,0.027,,,,,,,
"CB",2005,208,2005-07-27,1.50,1,1,"Non-chem",,,,1274,19.12,0.015,,,,,,,
"CB",2005,208,2005-07-27,1.75,1,1,"Non-chem",,,,1304,10.51,0.008,,,,,,,
"CB",2005,208,2005-07-27,2.00,1,1,"Non-chem",18.20,0.1,1.1,420,4.71,0.011,,,,,,,
"CB",2005,208,2005-07-27,2.00,2,1,"Non-chem",,,,,,,,,,,,,
"CB",2005,221,2005-08-09,0.00,1,1,"Quarterly",24.80,7.8,99.8,359,279.29,0.778,,,,,"J","J","J"
"CB",2005,221,2005-08-09,0.00,2,1,"Quarterly",,,,,,,,,,,,,
"CB",2005,221,2005-08-09,0.25,1,1,"Quarterly",,,,355,156.96,0.442,,,,,"J","J","J"
"CB",2005,221,2005-08-09,0.50,1,1,"Quarterly",,,,343,84.39,0.246,,,,,"J","J","J"
"CB",2005,221,2005-08-09,0.75,1,1,"Quarterly",,,,351,51.66,0.147,,,,,"J","J","J"
"CB",2005,221,2005-08-09,1.00,1,1,"Quarterly",24.80,7.4,94.7,385,35.08,0.091,,,,,"J","J","J"
"CB",2005,221,2005-08-09,1.25,1,1,"Quarterly",,,,382,22.54,0.059,,,,,"J","J","J"
"CB",2005,221,2005-08-09,1.50,1,1,"Quarterly",,,,375,15.58,0.042,,,,,"J","J","J"
"CB",2005,221,2005-08-09,1.75,1,1,"Quarterly",,,,365,11.80,0.032,,,,,"J","J","J"
"CB",2005,221,2005-08-09,2.00,1,1,"Quarterly",19.30,0.3,3.5,359,10.72,0.030,,,,,"J","J","J"
"CB",2005,234,2005-08-22,0.00,1,1,"Non-chem",20.20,6.0,70.3,498,313.85,0.630,,,,,,,
"CB",2005,234,2005-08-22,0.25,1,1,"Non-chem",,,,511,182.78,0.358,,,,,,,
"CB",2005,234,2005-08-22,0.50,1,1,"Non-chem",,,,515,90.98,0.177,,,,,,,
"CB",2005,234,2005-08-22,0.75,1,1,"Non-chem",,,,510,43.61,0.086,,,,,,,
"CB",2005,234,2005-08-22,1.00,1,1,"Non-chem",20.00,5.4,63.0,503,25.89,0.051,,,,,,,
"CB",2005,234,2005-08-22,1.00,2,1,"Non-chem",,,,,,,,,,,,,
"CB",2005,234,2005-08-22,1.25,1,1,"Non-chem",,,,445,16.27,0.037,,,,,,,
"CB",2005,234,2005-08-22,1.50,1,1,"Non-chem",,,,435,9.01,0.021,,,,,,,
"CB",2005,234,2005-08-22,1.75,1,1,"Non-chem",,,,424,6.38,0.015,,,,,,,
"CB",2005,234,2005-08-22,2.00,1,1,"Non-chem",19.20,0.4,4.6,421,3.23,0.008,,,,,,,
"CB",2005,250,2005-09-07,0.00,1,1,"Chem",21.40,8.9,106.8,385,278.39,0.723,,,,,,,
"CB",2005,250,2005-09-07,0.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2005,250,2005-09-07,0.25,1,1,"Chem",,,,386,135.88,0.352,,,,,,,
"CB",2005,250,2005-09-07,0.50,1,1,"Chem",,,,384,76.52,0.199,,,,,,,
"CB",2005,250,2005-09-07,0.75,1,1,"Chem",,,,379,36.36,0.096,,,,,,,
"CB",2005,250,2005-09-07,1.00,1,1,"Chem",21.10,8.3,99.0,380,18.93,0.050,,,,,,,
"CB",2005,250,2005-09-07,1.25,1,1,"Chem",,,,375,11.74,0.031,,,,,,,
"CB",2005,250,2005-09-07,1.50,1,1,"Chem",,,,373,6.48,0.017,,,,,,,
"CB",2005,250,2005-09-07,1.75,1,1,"Chem",,,,369,4.58,0.012,,,,,,,
"CB",2005,250,2005-09-07,2.00,1,1,"Chem",18.60,0.2,2.3,365,3.99,0.011,,,,,,,
"CB",2005,263,2005-09-20,0.00,1,1,"Non-chem",22.80,6.8,83.8,338,1295.50,,,,,,,,"V"
"CB",2005,263,2005-09-20,0.25,1,1,"Non-chem",,,,417,670.45,,,,,,,,"V"
"CB",2005,263,2005-09-20,0.50,1,1,"Non-chem",,,,602,255.38,0.424,,,,,,,
"CB",2005,263,2005-09-20,0.75,1,1,"Non-chem",,,,842,154.08,0.183,,,,,,,
"CB",2005,263,2005-09-20,1.00,1,1,"Non-chem",18.70,6.6,75.0,983,103.04,0.105,,,,,,,
"CB",2005,263,2005-09-20,1.00,2,1,"Non-chem",,,,,,,,,,,,,
"CB",2005,263,2005-09-20,1.25,1,1,"Non-chem",,,,1352,60.78,0.045,,,,,,,
"CB",2005,263,2005-09-20,1.50,1,1,"Non-chem",,,,1546,15.58,0.010,,,,,,,
"CB",2005,263,2005-09-20,1.75,1,1,"Non-chem",,,,1156,21.82,0.019,,,,,,,
"CB",2005,263,2005-09-20,2.00,1,1,"Non-chem",18.30,5.0,56.4,949,14.83,0.016,,,,,,,
"CB",2005,279,2005-10-06,0.00,1,1,"Chem",15.50,6.6,70.2,317,393.33,,,,,,,,"V"
"CB",2005,279,2005-10-06,0.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2005,279,2005-10-06,0.25,1,1,"Chem",,,,293,189.18,0.646,,,,,,,
"CB",2005,279,2005-10-06,0.50,1,1,"Chem",,,,326,100.04,0.307,,,,,,,
"CB",2005,279,2005-10-06,0.75,1,1,"Chem",,,,418,68.97,0.165,,,,,,,
"CB",2005,279,2005-10-06,1.00,1,1,"Chem",15.40,7.1,75.3,419,36.87,0.088,,,,,,,
"CB",2005,279,2005-10-06,1.25,1,1,"Chem",,,,388,25.68,0.066,,,,,,,
"CB",2005,279,2005-10-06,1.50,1,1,"Chem",,,,449,14.15,0.032,,,,,,,
"CB",2005,279,2005-10-06,1.75,1,1,"Chem",,,,604,12.46,0.021,,,,,,,
"CB",2005,279,2005-10-06,2.00,1,1,"Chem",14.50,4.2,43.7,574,7.86,0.014,,,,,,,
"CB",2005,292,2005-10-19,0.00,1,1,"Non-chem",11.50,6.8,66.2,1611,833.82,0.518,,,,,,,
"CB",2005,292,2005-10-19,0.00,2,1,"Non-chem",,,,,,,,,,,,,
"CB",2005,292,2005-10-19,0.25,1,1,"Non-chem",,,,1435,371.72,0.259,,,,,,,
"CB",2005,292,2005-10-19,0.50,1,1,"Non-chem",,,,1538,192.39,0.125,,,,,,,
"CB",2005,292,2005-10-19,0.75,1,1,"Non-chem",,,,1558,85.21,0.055,,,,,,,
"CB",2005,292,2005-10-19,1.00,1,1,"Non-chem",11.20,6.8,65.7,1400,49.00,0.035,,,,,,,
"CB",2005,292,2005-10-19,1.25,1,1,"Non-chem",,,,1604,18.44,0.011,,,,,,,
"CB",2005,292,2005-10-19,1.50,1,1,"Non-chem",,,,1691,14.62,0.009,,,,,,,
"CB",2005,292,2005-10-19,1.75,1,1,"Non-chem",,,,1679,6.57,0.004,,,,,,,
"CB",2005,292,2005-10-19,2.00,1,1,"Non-chem",11.00,6.7,64.5,1897,5.51,0.003,,,,,,,
"CB",2005,312,2005-11-08,0.00,1,1,"Quarterly",7.10,9.9,86.8,1216,657.37,0.541,,,,,,,
"CB",2005,312,2005-11-08,0.25,1,1,"Quarterly",,,,1178,248.10,0.211,,,,,,,
"CB",2005,312,2005-11-08,0.50,1,1,"Quarterly",,,,1116,113.13,0.101,,,,,,,
"CB",2005,312,2005-11-08,0.75,1,1,"Quarterly",,,,1099,59.06,0.054,,,,,,,
"CB",2005,312,2005-11-08,1.00,1,1,"Quarterly",6.60,9.6,83.1,1051,26.42,0.025,,,,,,,
"CB",2005,312,2005-11-08,1.25,1,1,"Quarterly",,,,1050,17.98,0.017,,,,,,,
"CB",2005,312,2005-11-08,1.50,1,1,"Quarterly",,,,1011,9.84,0.010,,,,,,,
"CB",2005,312,2005-11-08,1.75,1,1,"Quarterly",,,,935,5.54,0.006,,,,,,,
"CB",2005,312,2005-11-08,2.00,1,1,"Quarterly",6.50,9.5,82.0,1019,4.23,0.004,,,,,,,
"CB",2005,312,2005-11-08,2.00,2,1,"Quarterly",,,,,,,,,,,,,
"CB",2006,12,2006-01-12,0.00,1,1,"Chem",1.60,7.1,53.9,523,5.61,0.011,,,,,,,
"CB",2006,12,2006-01-12,0.25,1,1,"Chem",,,,500,4.86,0.010,,,,,,,
"CB",2006,12,2006-01-12,0.50,1,1,"Chem",,,,507,3.72,0.007,,,,,,,
"CB",2006,12,2006-01-12,0.75,1,1,"Chem",,,,519,2.24,0.004,,,,,,,
"CB",2006,12,2006-01-12,1.00,1,1,"Chem",2.70,1.1,8.6,531,1.33,0.003,,,,,,,
"CB",2006,12,2006-01-12,2.00,1,1,"Chem",4.10,0.2,1.6,,,,,,,,,,
"CB",2006,12,2006-01-12,2.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2006,54,2006-02-23,0.00,1,1,"Quarterly",0.30,1.0,7.3,384,2.79,0.007,,,,,,,
"CB",2006,54,2006-02-23,0.00,2,1,"Quarterly",,,,,,,,,,,,,
"CB",2006,54,2006-02-23,0.25,1,1,"Quarterly",,,,,,,,,,,,,
"CB",2006,54,2006-02-23,0.50,1,1,"Quarterly",,,,377,2.61,0.007,,,,,,,
"CB",2006,54,2006-02-23,0.75,1,1,"Quarterly",,,,363,2.02,0.006,,,,,,,
"CB",2006,54,2006-02-23,1.00,1,1,"Quarterly",2.10,0.1,0.8,357,0.88,0.002,,,,,,,
"CB",2006,54,2006-02-23,2.00,1,1,"Quarterly",3.80,0.1,0.8,354,0.59,0.002,,,,,,,
"CB",2006,54,2006-02-23,2.00,2,1,"Quarterly",,,,,,,,,,,,,
"CB",2006,86,2006-03-27,0.00,1,1,"Chem",0.70,0.4,3.0,1387,34.61,0.025,,,,,,,
"CB",2006,86,2006-03-27,0.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2006,86,2006-03-27,0.25,1,1,"Chem",,,,,,,,,,,,,
"CB",2006,86,2006-03-27,0.50,1,1,"Chem",,,,1397,25.63,0.018,,,,,,,
"CB",2006,86,2006-03-27,0.75,1,1,"Chem",,,,1404,16.52,0.012,,,,,,,
"CB",2006,86,2006-03-27,1.00,1,1,"Chem",2.30,0.1,0.8,1402,12.81,0.009,,,,,,,
"CB",2006,86,2006-03-27,1.25,1,1,"Chem",,,,1414,9.36,0.007,,,,,,,
"CB",2006,86,2006-03-27,1.50,1,1,"Chem",,,,1421,7.71,0.005,,,,,,,
"CB",2006,86,2006-03-27,2.00,1,1,"Chem",3.80,0.1,0.8,1414,4.64,0.003,,,,,,,
"CB",2006,108,2006-04-18,0.00,1,1,"Quarterly",8.50,13.2,119.7,1631,1433.00,0.879,,,,,,,
"CB",2006,108,2006-04-18,0.00,2,1,"Quarterly",,,,,,,,,,,,,
"CB",2006,108,2006-04-18,0.25,1,1,"Quarterly",,,,1399,630.31,0.451,,,,,,,
"CB",2006,108,2006-04-18,0.50,1,1,"Quarterly",,,,1651,372.18,0.225,,,,,,,
"CB",2006,108,2006-04-18,0.75,1,1,"Quarterly",,,,1687,200.81,0.119,,,,,,,
"CB",2006,108,2006-04-18,1.00,1,1,"Quarterly",7.80,1.4,12.5,1629,106.16,0.065,,,,,,,
"CB",2006,108,2006-04-18,1.25,1,1,"Quarterly",,,,1637,47.84,0.029,,,,,,,
"CB",2006,108,2006-04-18,1.50,1,1,"Quarterly",,,,1620,25.40,0.016,,,,,,,
"CB",2006,108,2006-04-18,1.75,1,1,"Quarterly",,,,1650,11.63,0.007,,,,,,,
"CB",2006,108,2006-04-18,2.00,1,1,"Quarterly",4.70,0.2,1.6,,,,,,,,,,
"CB",2006,123,2006-05-03,0.00,1,1,"Non-chem",15.20,8.6,90.9,1727,1580.10,0.915,,,,,,,
"CB",2006,123,2006-05-03,0.25,1,1,"Non-chem",,,,1733,721.51,0.416,,,,,,,
"CB",2006,123,2006-05-03,0.50,1,1,"Non-chem",,,,1725,385.80,0.224,,,,,,,
"CB",2006,123,2006-05-03,0.75,1,1,"Non-chem",,,,1756,220.00,0.125,,,,,,,
"CB",2006,123,2006-05-03,1.00,1,1,"Non-chem",11.40,5.8,56.3,1780,124.65,0.070,,,,,,,
"CB",2006,123,2006-05-03,1.25,1,1,"Non-chem",,,,1760,61.27,0.035,,,,,,,
"CB",2006,123,2006-05-03,1.50,1,1,"Non-chem",,,,1781,35.72,0.020,,,,,,,
"CB",2006,123,2006-05-03,1.75,1,1,"Non-chem",,,,1813,14.71,0.008,,,,,,,
"CB",2006,123,2006-05-03,2.00,1,1,"Non-chem",6.50,0.4,3.5,1753,8.92,0.005,,,,,,,
"CB",2006,123,2006-05-03,2.00,2,1,"Non-chem",,,,,,,,,,,,,
"CB",2006,137,2006-05-17,0.00,1,1,"Chem",16.50,9.1,98.9,1389,1059.10,0.762,,,,,,,
"CB",2006,137,2006-05-17,0.25,1,1,"Chem",,,,1483,570.25,0.385,,,,,,,
"CB",2006,137,2006-05-17,0.50,1,1,"Chem",,,,1974,432.13,0.219,,,,,,,
"CB",2006,137,2006-05-17,0.75,1,1,"Chem",,,,1774,175.85,0.099,,,,,,,
"CB",2006,137,2006-05-17,1.00,1,1,"Chem",10.80,8.1,77.6,433,14.57,0.034,,,,,,,
"CB",2006,137,2006-05-17,1.25,1,1,"Chem",,,,413,6.91,0.017,,,,,,,
"CB",2006,137,2006-05-17,1.50,1,1,"Chem",,,,663,5.40,0.008,,,,,,,
"CB",2006,137,2006-05-17,1.75,1,1,"Chem",,,,350,1.24,0.004,,,,,,,
"CB",2006,137,2006-05-17,2.00,1,1,"Chem",7.90,0.2,1.8,,,,,,,,,,
"CB",2006,137,2006-05-17,2.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2006,152,2006-06-01,0.00,1,1,"Chem",23.30,8.9,110.7,872,367.37,0.421,,,,,,,
"CB",2006,152,2006-06-01,0.25,1,1,"Chem",,,,867,212.00,0.245,,,,,,,
"CB",2006,152,2006-06-01,0.50,1,1,"Chem",,,,874,114.00,0.130,,,,,,,
"CB",2006,152,2006-06-01,0.75,1,1,"Chem",,,,891,40.33,0.045,,,,,,,
"CB",2006,152,2006-06-01,1.00,1,1,"Chem",17.60,12.0,133.4,915,12.88,0.014,,,,,,,
"CB",2006,152,2006-06-01,1.25,1,1,"Chem",,,,862,6.09,0.007,,,,,,,
"CB",2006,152,2006-06-01,2.00,1,1,"Chem",9.40,0.4,3.7,,,,,,,,,,
"CB",2006,152,2006-06-01,2.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2006,164,2006-06-13,0.00,1,1,"Chem",20.00,9.0,105.0,1562,1001.00,0.641,,,,,"J","J","J"
"CB",2006,164,2006-06-13,0.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2006,164,2006-06-13,0.25,1,1,"Chem",,,,1494,496.66,0.332,,,,,"J","J","J"
"CB",2006,164,2006-06-13,0.50,1,1,"Chem",,,,1517,241.54,0.159,,,,,"J","J","J"
"CB",2006,164,2006-06-13,0.75,1,1,"Chem",,,,1558,141.03,0.091,,,,,"J","J","J"
"CB",2006,164,2006-06-13,1.00,1,1,"Chem",19.10,8.6,98.6,1791,72.14,0.040,,,,,"J","J","J"
"CB",2006,164,2006-06-13,2.00,1,1,"Chem",11.10,0.2,1.9,,,,,,,,,,
"CB",2006,179,2006-06-28,0.00,1,1,"Non-chem",21.60,7.4,89.1,1724,1222.90,0.709,,,,,"J","J","J"
"CB",2006,179,2006-06-28,0.25,1,1,"Non-chem",,,,1737,564.62,0.325,,,,,"J","J","J"
"CB",2006,179,2006-06-28,0.50,1,1,"Non-chem",,,,1720,274.48,0.160,,,,,"J","J","J"
"CB",2006,179,2006-06-28,0.75,1,1,"Non-chem",,,,1709,130.97,0.077,,,,,"J","J","J"
"CB",2006,179,2006-06-28,1.00,1,1,"Non-chem",20.30,2.8,32.9,1663,69.39,0.042,,,,,"J","J","J"
"CB",2006,179,2006-06-28,1.00,2,1,"Non-chem",,,,,,,,,,,,,
"CB",2006,179,2006-06-28,1.25,1,1,"Non-chem",,,,1683,23.29,0.014,,,,,"J","J","J"
"CB",2006,179,2006-06-28,1.50,1,1,"Non-chem",,,,1710,10.82,0.006,,,,,"J","J","J"
"CB",2006,179,2006-06-28,1.75,1,1,"Non-chem",,,,1727,6.22,0.004,,,,,"J","J","J"
"CB",2006,179,2006-06-28,2.00,1,1,"Non-chem",13.10,1.5,15.1,1699,3.59,0.002,,,,,"J","J","J"
"CB",2006,193,2006-07-12,0.00,1,1,"Chem",28.10,8.3,112.8,457,229.03,0.501,,,,,,,
"CB",2006,193,2006-07-12,0.00,2,1,"Chem",,,,,,,,,,,,,
"CB",2006,193,2006-07-12,0.25,1,1,"Chem",,,,458,116.84,0.255,,,,,,,
"CB",2006,193,2006-07-12,0.50,1,1,"Chem",,,,456,49.26,0.108,,,,,,,
"CB",2006,193,2006-07-12,0.75,1,1,"Chem",,,,454,23.87,0.053,,,,,,,
"CB",2006,193,2006-07-12,1.00,1,1,"Chem",22.60,2.2,27.0,413,12.40,0.030,,,,,,,
"CB",2006,193,2006-07-12,1.25,1,1,"Chem",,,,411,6.21,0.015,,,,,,,
"CB",2006,193,2006-07-12,1.50,1,1,"Chem",,,,409,3.58,0.009,,,,,,,
"CB",2006,193,2006-07-12,1.75,1,1,"Chem",,,,398,1.77,0.004,,,,,,,
"CB",2006,193,2006-07-12,2.00,1,1,"Chem",15.10,0.3,3.2,381,0.88,0.002,,,,,,,
