YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2008-01-02,10:00,77.1,144.3,316,1415,215,0,9,723,0,21,54,0,9,194,24,723,27,32,24,194,10,723,16,32,10,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.356,51,0.16,0
2008-01-02,11:00,72.1,157.6,436,1415,313,0,9,818,0,21,61,0,9,290,24,669,27,84,24,293,10,824,16,40,10,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.353,51,0.16,0
2008-01-02,12:00,69.3,171.9,499,1415,366,0,9,856,0,21,64,0,9,349,24,865,27,44,24,349,10,865,16,44,10,-9900,99,-9900,99,-9900,99,0.3,3,0.058,1,0.039,1,0.350,51,0.16,0
2008-01-02,13:00,69.2,186.7,502,1415,368,0,9,856,0,21,64,0,9,231,24,329,27,114,24,352,10,868,16,44,10,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.347,51,0.16,0
2008-01-02,14:00,71.7,201.1,445,1415,319,0,9,824,0,21,60,0,9,247,25,473,28,98,25,302,10,833,16,40,10,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.344,51,0.16,0
2008-01-02,15:00,76.5,214.5,330,1415,226,0,9,737,0,21,54,0,9,184,25,566,28,52,25,206,10,742,16,33,10,-9900,99,-9900,99,-9900,99,0.3,3,0.058,1,0.039,1,0.341,51,0.16,0
2008-01-02,16:00,83.2,226.7,167,1415,99,0,9,530,0,21,36,0,9,79,25,474,28,23,25,85,10,523,16,23,10,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.338,51,0.16,0
2008-01-02,17:00,88.5,234.6,14,554,4,1,9,95,1,21,1,1,9,5,24,103,27,2,24,5,10,103,16,2,10,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.335,51,0.16,0
2008-01-02,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,3,0.058,1,0.039,1,0.332,51,0.16,0
2008-01-02,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.330,51,0.16,0
2008-01-02,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.327,51,0.16,0
2008-01-02,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,3,0.058,1,0.039,1,0.324,51,0.16,0
2008-01-02,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.039,1,0.321,51,0.16,0
2008-01-02,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.039,1,0.318,51,0.16,0
2008-01-02,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.039,1,0.315,51,0.16,0
2008-01-03,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.039,1,0.312,2,0.16,0
2008-01-03,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.039,1,0.310,51,0.16,0
2008-01-03,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.039,1,0.307,51,0.16,0
2008-01-03,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.039,1,0.305,51,0.16,0
2008-01-03,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.058,1,0.039,1,0.302,51,0.16,0
2008-01-03,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.058,1,0.039,1,0.300,51,0.16,0
2008-01-03,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.039,1,0.298,51,0.16,0
2008-01-03,8:00,88.9,124.8,8,413,2,1,9,61,1,21,1,1,9,2,24,66,27,1,24,2,10,66,16,1,10,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.044,1,0.295,51,0.16,0
2008-01-03,9:00,83.9,132.1,149,1415,82,0,9,452,0,21,34,0,9,71,24,463,27,22,24,71,10,463,16,22,10,-9900,99,-9900,99,-9900,99,0.7,3,0.058,1,0.044,1,0.293,51,0.16,0
2008-01-03,10:00,77.1,144.2,317,1415,215,0,9,724,0,21,53,0,9,190,24,699,27,34,24,190,10,699,16,34,10,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.044,1,0.290,51,0.16,0
2008-01-03,11:00,72.0,157.5,437,1415,314,0,9,819,0,21,61,0,9,288,25,798,28,41,25,288,10,798,16,41,10,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.044,1,0.288,51,0.16,0
2008-01-03,12:00,69.2,171.8,501,1415,368,0,9,634,0,21,144,0,9,342,24,838,27,45,24,342,10,838,16,45,10,-9900,99,-9900,99,-9900,99,0.7,3,0.058,1,0.044,1,0.285,51,0.16,0
2008-01-03,13:00,69.1,186.6,505,1415,165,0,9,129,0,21,119,0,9,345,24,839,27,46,24,345,10,839,16,46,10,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.044,1,0.283,51,0.16,0
2008-01-03,14:00,71.6,201.0,447,1415,259,0,9,413,0,21,128,0,9,296,24,803,27,42,24,296,10,803,16,42,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.044,1,0.281,51,0.16,0
2008-01-03,15:00,76.4,214.4,333,1415,147,0,9,242,0,21,90,0,9,202,24,712,27,35,24,202,10,712,16,35,10,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.044,1,0.278,51,0.16,0
2008-01-03,16:00,83.1,226.7,170,1415,52,0,9,68,0,21,44,0,9,84,24,499,27,24,24,84,10,499,16,24,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.044,1,0.276,51,0.16,0
2008-01-03,17:00,88.5,234.6,15,578,2,1,9,13,1,21,2,1,9,5,24,95,27,2,24,5,10,95,16,2,10,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.044,1,0.273,51,0.16,0
2008-01-03,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.058,1,0.044,1,0.271,51,0.16,0
